o_d,cluster
THAPOL,3
IRNIRN,4
IRNIRQ,4
THAPRT,3
THASVK,3
THASWE,3
THAUKR,3
IRNLBY,4
IRNMAR,4
THAUSA,3
IRNMYS,4
THAZAF,3
TURARG,3
TURAUS,3
TURAUT,3
IRNPAK,4
TURBEL,3
IRNPHL,4
TURBRA,3
TURCAN,3
IRNRUS,4
IRNSAU,4
IRNSDN,4
IRNSGP,4
TURCHE,3
TURCHL,3
IRNTHA,4
IRNTUR,4
TURCOL,3
TURCZE,3
IRNVEN,4
IRNVNM,4
TURDEU,3
TURDNK,3
TURDOM,3
TURECU,3
TURESP,3
IRQBGD,4
TURFIN,3
TURFRA,3
TURGBR,3
TURGRC,3
IRQCHN,4
TURGTM,3
TURIDN,3
TURIRL,3
TURISR,3
TURITA,3
IRQDZA,4
TURJPN,3
IRQEGY,4
TURKOR,3
TURMEX,3
TURNGA,3
TURNLD,3
TURNOR,3
TURNZL,3
TURPER,3
IRQIND,4
TURPOL,3
IRQIRN,4
IRQIRQ,4
TURPRT,3
TURSVK,3
TURSWE,3
TURUKR,3
IRQLBY,4
IRQMAR,4
TURUSA,3
IRQMYS,4
TURZAF,3
VENARG,3
VENAUS,3
VENAUT,3
IRQPAK,4
VENBEL,3
IRQPHL,4
VENBRA,3
VENCAN,3
IRQRUS,4
IRQSAU,4
IRQSDN,4
IRQSGP,4
VENCHE,3
VENCHL,3
IRQTHA,4
IRQTUR,4
VENCOL,3
VENCZE,3
IRQVEN,4
IRQVNM,4
VENDEU,3
ISRARG,1
ISRAUS,1
ISRAUT,1
ISRBEL,1
VENDNK,3
ISRBRA,1
ISRCAN,1
ISRCHE,1
ISRCHL,1
VENDOM,3
ISRCOL,1
ISRCZE,1
ISRDEU,1
ISRDNK,1
ISRDOM,1
VENECU,3
ISRECU,1
VENESP,3
ISRESP,1
ISRFIN,1
ISRFRA,1
ISRGBR,1
ISRGRC,1
ISRGTM,1
ISRIDN,1
VENFIN,3
ISRIRL,1
VENFRA,3
VENGBR,3
ISRISR,1
ISRITA,1
ISRJPN,1
ISRKOR,1
VENGRC,3
VENGTM,3
ISRMEX,1
VENIDN,3
ISRNGA,1
ISRNLD,1
ISRNOR,1
ISRNZL,1
VENIRL,3
ISRPER,1
VENISR,3
ISRPOL,1
ISRPRT,1
VENITA,3
VENJPN,3
VENKOR,3
VENMEX,3
ISRSVK,1
ISRSWE,1
VENNGA,3
VENNLD,3
ISRUKR,1
ISRUSA,1
VENNOR,3
VENNZL,3
ISRZAF,1
ITAARG,1
ITAAUS,1
ITAAUT,1
ITABEL,1
VENPER,3
ITABRA,1
ITACAN,1
ITACHE,1
ITACHL,1
VENPOL,3
ITACOL,1
ITACZE,1
ITADEU,1
ITADNK,1
ITADOM,1
VENPRT,3
ITAECU,1
VENSVK,3
ITAESP,1
ITAFIN,1
ITAFRA,1
ITAGBR,1
ITAGRC,1
ITAGTM,1
ITAIDN,1
VENSWE,3
ITAIRL,1
VENUKR,3
VENUSA,3
ITAISR,1
ITAITA,1
ITAJPN,1
ITAKOR,1
VENZAF,3
VNMARG,3
ITAMEX,1
VNMAUS,3
ITANGA,1
ITANLD,1
ITANOR,1
ITANZL,1
VNMAUT,3
ITAPER,1
VNMBEL,3
ITAPOL,1
ITAPRT,1
VNMBRA,3
VNMCAN,3
VNMCHE,3
VNMCHL,3
ITASVK,1
ITASWE,1
VNMCOL,3
VNMCZE,3
ITAUKR,1
ITAUSA,1
VNMDEU,3
VNMDNK,3
ITAZAF,1
JPNARG,1
JPNAUS,1
JPNAUT,1
JPNBEL,1
VNMDOM,3
JPNBRA,1
JPNCAN,1
JPNCHE,1
JPNCHL,1
VNMECU,3
JPNCOL,1
JPNCZE,1
JPNDEU,1
JPNDNK,1
JPNDOM,1
VNMESP,3
JPNECU,1
VNMFIN,3
JPNESP,1
JPNFIN,1
JPNFRA,1
JPNGBR,1
JPNGRC,1
JPNGTM,1
JPNIDN,1
VNMFRA,3
JPNIRL,1
VNMGBR,3
VNMGRC,3
JPNISR,1
JPNITA,1
JPNJPN,1
JPNKOR,1
VNMGTM,3
VNMIDN,3
JPNMEX,1
VNMIRL,3
JPNNGA,1
JPNNLD,1
JPNNOR,1
JPNNZL,1
VNMISR,3
JPNPER,1
VNMITA,3
JPNPOL,1
JPNPRT,1
VNMJPN,3
VNMKOR,3
VNMMEX,3
VNMNGA,3
JPNSVK,1
JPNSWE,1
VNMNLD,3
VNMNOR,3
JPNUKR,1
JPNUSA,1
VNMNZL,3
VNMPER,3
JPNZAF,1
KORARG,1
KORAUS,1
KORAUT,1
KORBEL,1
VNMPOL,3
KORBRA,1
KORCAN,1
KORCHE,1
KORCHL,1
VNMPRT,3
KORCOL,1
KORCZE,1
KORDEU,1
KORDNK,1
KORDOM,1
VNMSVK,3
KORECU,1
VNMSWE,3
KORESP,1
KORFIN,1
KORFRA,1
KORGBR,1
KORGRC,1
KORGTM,1
KORIDN,1
VNMUKR,3
KORIRL,1
VNMUSA,3
VNMZAF,3
KORISR,1
KORITA,1
KORJPN,1
KORKOR,1
ARGBGD,2
ARGCHN,2
KORMEX,1
ARGDZA,2
KORNGA,1
KORNLD,1
KORNOR,1
KORNZL,1
ARGEGY,2
KORPER,1
ARGIND,2
KORPOL,1
KORPRT,1
ARGIRN,2
ARGIRQ,2
ARGLBY,2
ARGMAR,2
KORSVK,1
KORSWE,1
ARGMYS,2
ARGPAK,2
KORUKR,1
KORUSA,1
ARGPHL,2
ARGRUS,2
KORZAF,1
ARGSAU,2
ARGSDN,2
ARGSGP,2
ARGTHA,2
LBYBGD,4
ARGTUR,2
ARGVEN,2
ARGVNM,2
AUSBGD,2
LBYCHN,4
AUSCHN,2
AUSDZA,2
AUSEGY,2
AUSIND,2
AUSIRN,2
LBYDZA,4
AUSIRQ,2
LBYEGY,4
AUSLBY,2
AUSMAR,2
AUSMYS,2
AUSPAK,2
AUSPHL,2
AUSRUS,2
AUSSAU,2
LBYIND,4
AUSSDN,2
LBYIRN,4
LBYIRQ,4
AUSSGP,2
AUSTHA,2
AUSTUR,2
AUSVEN,2
LBYLBY,4
LBYMAR,4
AUSVNM,2
LBYMYS,4
AUTBGD,2
AUTCHN,2
AUTDZA,2
AUTEGY,2
LBYPAK,4
AUTIND,2
LBYPHL,4
AUTIRN,2
AUTIRQ,2
LBYRUS,4
LBYSAU,4
LBYSDN,4
LBYSGP,4
AUTLBY,2
AUTMAR,2
LBYTHA,4
LBYTUR,4
AUTMYS,2
AUTPAK,2
LBYVEN,4
LBYVNM,4
AUTPHL,2
AUTRUS,2
AUTSAU,2
AUTSDN,2
AUTSGP,2
MARBGD,4
AUTTHA,2
AUTTUR,2
AUTVEN,2
AUTVNM,2
MARCHN,4
BELBGD,2
BELCHN,2
BELDZA,2
BELEGY,2
BELIND,2
MARDZA,4
BELIRN,2
MAREGY,4
BELIRQ,2
BELLBY,2
BELMAR,2
BELMYS,2
BELPAK,2
BELPHL,2
BELRUS,2
MARIND,4
BELSAU,2
MARIRN,4
MARIRQ,4
BELSDN,2
BELSGP,2
BELTHA,2
BELTUR,2
MARLBY,4
MARMAR,4
BELVEN,2
MARMYS,4
BELVNM,2
BRABGD,2
BRACHN,2
BRADZA,2
MARPAK,4
BRAEGY,2
MARPHL,4
BRAIND,2
BRAIRN,2
MARRUS,4
MARSAU,4
MARSDN,4
MARSGP,4
BRAIRQ,2
BRALBY,2
MARTHA,4
MARTUR,4
BRAMAR,2
BRAMYS,2
MARVEN,4
MARVNM,4
BRAPAK,2
MEXARG,1
MEXAUS,1
MEXAUT,1
MEXBEL,1
BRAPHL,2
MEXBRA,1
MEXCAN,1
MEXCHE,1
MEXCHL,1
BRARUS,2
MEXCOL,1
MEXCZE,1
MEXDEU,1
MEXDNK,1
MEXDOM,1
BRASAU,2
MEXECU,1
BRASDN,2
MEXESP,1
MEXFIN,1
MEXFRA,1
MEXGBR,1
MEXGRC,1
MEXGTM,1
MEXIDN,1
BRASGP,2
MEXIRL,1
BRATHA,2
BRATUR,2
MEXISR,1
MEXITA,1
MEXJPN,1
MEXKOR,1
BRAVEN,2
BRAVNM,2
MEXMEX,1
CANBGD,2
MEXNGA,1
MEXNLD,1
MEXNOR,1
MEXNZL,1
CANCHN,2
MEXPER,1
CANDZA,2
MEXPOL,1
MEXPRT,1
CANEGY,2
CANIND,2
CANIRN,2
CANIRQ,2
MEXSVK,1
MEXSWE,1
CANLBY,2
CANMAR,2
MEXUKR,1
MEXUSA,1
CANMYS,2
CANPAK,2
MEXZAF,1
CANPHL,2
CANRUS,2
CANSAU,2
CANSDN,2
MYSBGD,4
CANSGP,2
CANTHA,2
CANTUR,2
CANVEN,2
MYSCHN,4
CANVNM,2
CHEBGD,2
CHECHN,2
CHEDZA,2
CHEEGY,2
MYSDZA,4
CHEIND,2
MYSEGY,4
CHEIRN,2
CHEIRQ,2
CHELBY,2
CHEMAR,2
CHEMYS,2
CHEPAK,2
CHEPHL,2
MYSIND,4
CHERUS,2
MYSIRN,4
MYSIRQ,4
CHESAU,2
CHESDN,2
CHESGP,2
CHETHA,2
MYSLBY,4
MYSMAR,4
CHETUR,2
MYSMYS,4
CHEVEN,2
CHEVNM,2
CHLBGD,2
CHLCHN,2
MYSPAK,4
CHLDZA,2
MYSPHL,4
CHLEGY,2
CHLIND,2
MYSRUS,4
MYSSAU,4
MYSSDN,4
MYSSGP,4
CHLIRN,2
CHLIRQ,2
MYSTHA,4
MYSTUR,4
CHLLBY,2
CHLMAR,2
MYSVEN,4
MYSVNM,4
CHLMYS,2
NGAARG,1
NGAAUS,1
NGAAUT,1
NGABEL,1
CHLPAK,2
NGABRA,1
NGACAN,1
NGACHE,1
NGACHL,1
CHLPHL,2
NGACOL,1
NGACZE,1
NGADEU,1
NGADNK,1
NGADOM,1
CHLRUS,2
NGAECU,1
CHLSAU,2
NGAESP,1
NGAFIN,1
NGAFRA,1
NGAGBR,1
NGAGRC,1
NGAGTM,1
NGAIDN,1
CHLSDN,2
NGAIRL,1
CHLSGP,2
CHLTHA,2
NGAISR,1
NGAITA,1
NGAJPN,1
NGAKOR,1
CHLTUR,2
CHLVEN,2
NGAMEX,1
CHLVNM,2
NGANGA,1
NGANLD,1
NGANOR,1
NGANZL,1
COLBGD,2
NGAPER,1
COLCHN,2
NGAPOL,1
NGAPRT,1
COLDZA,2
COLEGY,2
COLIND,2
COLIRN,2
NGASVK,1
NGASWE,1
COLIRQ,2
COLLBY,2
NGAUKR,1
NGAUSA,1
COLMAR,2
COLMYS,2
NGAZAF,1
NLDARG,1
NLDAUS,1
NLDAUT,1
NLDBEL,1
COLPAK,2
NLDBRA,1
NLDCAN,1
NLDCHE,1
NLDCHL,1
COLPHL,2
NLDCOL,1
NLDCZE,1
NLDDEU,1
NLDDNK,1
NLDDOM,1
COLRUS,2
NLDECU,1
COLSAU,2
NLDESP,1
NLDFIN,1
NLDFRA,1
NLDGBR,1
NLDGRC,1
NLDGTM,1
NLDIDN,1
COLSDN,2
NLDIRL,1
COLSGP,2
COLTHA,2
NLDISR,1
NLDITA,1
NLDJPN,1
NLDKOR,1
COLTUR,2
COLVEN,2
NLDMEX,1
COLVNM,2
NLDNGA,1
NLDNLD,1
NLDNOR,1
NLDNZL,1
CZEBGD,2
NLDPER,1
CZECHN,2
NLDPOL,1
NLDPRT,1
CZEDZA,2
CZEEGY,2
CZEIND,2
CZEIRN,2
NLDSVK,1
NLDSWE,1
CZEIRQ,2
CZELBY,2
NLDUKR,1
NLDUSA,1
CZEMAR,2
CZEMYS,2
NLDZAF,1
NORARG,1
NORAUS,1
NORAUT,1
NORBEL,1
CZEPAK,2
NORBRA,1
NORCAN,1
NORCHE,1
NORCHL,1
CZEPHL,2
NORCOL,1
NORCZE,1
NORDEU,1
NORDNK,1
NORDOM,1
CZERUS,2
NORECU,1
CZESAU,2
NORESP,1
NORFIN,1
NORFRA,1
NORGBR,1
NORGRC,1
NORGTM,1
NORIDN,1
CZESDN,2
NORIRL,1
CZESGP,2
CZETHA,2
NORISR,1
NORITA,1
NORJPN,1
NORKOR,1
CZETUR,2
CZEVEN,2
NORMEX,1
CZEVNM,2
NORNGA,1
NORNLD,1
NORNOR,1
NORNZL,1
DEUBGD,2
NORPER,1
DEUCHN,2
NORPOL,1
NORPRT,1
DEUDZA,2
DEUEGY,2
DEUIND,2
DEUIRN,2
NORSVK,1
NORSWE,1
DEUIRQ,2
DEULBY,2
NORUKR,1
NORUSA,1
DEUMAR,2
DEUMYS,2
NORZAF,1
NZLARG,1
NZLAUS,1
NZLAUT,1
NZLBEL,1
DEUPAK,2
NZLBRA,1
NZLCAN,1
NZLCHE,1
NZLCHL,1
DEUPHL,2
NZLCOL,1
NZLCZE,1
NZLDEU,1
NZLDNK,1
NZLDOM,1
DEURUS,2
NZLECU,1
DEUSAU,2
NZLESP,1
NZLFIN,1
NZLFRA,1
NZLGBR,1
NZLGRC,1
NZLGTM,1
NZLIDN,1
DEUSDN,2
NZLIRL,1
DEUSGP,2
DEUTHA,2
NZLISR,1
NZLITA,1
NZLJPN,1
NZLKOR,1
DEUTUR,2
DEUVEN,2
NZLMEX,1
DEUVNM,2
NZLNGA,1
NZLNLD,1
NZLNOR,1
NZLNZL,1
DNKBGD,2
NZLPER,1
DNKCHN,2
NZLPOL,1
NZLPRT,1
DNKDZA,2
DNKEGY,2
DNKIND,2
DNKIRN,2
NZLSVK,1
NZLSWE,1
DNKIRQ,2
DNKLBY,2
NZLUKR,1
NZLUSA,1
DNKMAR,2
DNKMYS,2
NZLZAF,1
DNKPAK,2
DNKPHL,2
DNKRUS,2
DNKSAU,2
PAKBGD,4
DNKSDN,2
DNKSGP,2
DNKTHA,2
DNKTUR,2
PAKCHN,4
DNKVEN,2
DNKVNM,2
DOMBGD,2
DOMCHN,2
DOMDZA,2
PAKDZA,4
DOMEGY,2
PAKEGY,4
DOMIND,2
DOMIRN,2
DOMIRQ,2
DOMLBY,2
DOMMAR,2
DOMMYS,2
DOMPAK,2
PAKIND,4
DOMPHL,2
PAKIRN,4
PAKIRQ,4
DOMRUS,2
DOMSAU,2
DOMSDN,2
DOMSGP,2
PAKLBY,4
PAKMAR,4
DOMTHA,2
PAKMYS,4
DOMTUR,2
DOMVEN,2
DOMVNM,2
ECUBGD,2
PAKPAK,4
ECUCHN,2
PAKPHL,4
ECUDZA,2
ECUEGY,2
PAKRUS,4
PAKSAU,4
PAKSDN,4
PAKSGP,4
ECUIND,2
ECUIRN,2
PAKTHA,4
PAKTUR,4
ECUIRQ,2
ECULBY,2
PAKVEN,4
PAKVNM,4
ECUMAR,2
PERARG,1
PERAUS,1
PERAUT,1
PERBEL,1
ECUMYS,2
PERBRA,1
PERCAN,1
PERCHE,1
PERCHL,1
ECUPAK,2
PERCOL,1
PERCZE,1
PERDEU,1
PERDNK,1
PERDOM,1
ECUPHL,2
PERECU,1
ECURUS,2
PERESP,1
PERFIN,1
PERFRA,1
PERGBR,1
PERGRC,1
PERGTM,1
PERIDN,1
ECUSAU,2
PERIRL,1
ECUSDN,2
ECUSGP,2
PERISR,1
PERITA,1
PERJPN,1
PERKOR,1
ECUTHA,2
ECUTUR,2
PERMEX,1
ECUVEN,2
PERNGA,1
PERNLD,1
PERNOR,1
PERNZL,1
ECUVNM,2
PERPER,1
ESPBGD,2
PERPOL,1
PERPRT,1
ESPCHN,2
ESPDZA,2
ESPEGY,2
ESPIND,2
PERSVK,1
PERSWE,1
ESPIRN,2
ESPIRQ,2
PERUKR,1
PERUSA,1
ESPLBY,2
ESPMAR,2
PERZAF,1
ESPMYS,2
ESPPAK,2
ESPPHL,2
ESPRUS,2
PHLBGD,4
ESPSAU,2
ESPSDN,2
ESPSGP,2
ESPTHA,2
PHLCHN,4
ESPTUR,2
ESPVEN,2
ESPVNM,2
FINBGD,2
FINCHN,2
PHLDZA,4
FINDZA,2
PHLEGY,4
FINEGY,2
FININD,2
FINIRN,2
FINIRQ,2
FINLBY,2
FINMAR,2
FINMYS,2
PHLIND,4
FINPAK,2
PHLIRN,4
PHLIRQ,4
FINPHL,2
FINRUS,2
FINSAU,2
FINSDN,2
PHLLBY,4
PHLMAR,4
FINSGP,2
PHLMYS,4
FINTHA,2
FINTUR,2
FINVEN,2
FINVNM,2
PHLPAK,4
FRABGD,2
PHLPHL,4
FRACHN,2
FRADZA,2
PHLRUS,4
PHLSAU,4
PHLSDN,4
PHLSGP,4
FRAEGY,2
FRAIND,2
PHLTHA,4
PHLTUR,4
FRAIRN,2
FRAIRQ,2
PHLVEN,4
PHLVNM,4
FRALBY,2
POLARG,1
POLAUS,1
POLAUT,1
POLBEL,1
FRAMAR,2
POLBRA,1
POLCAN,1
POLCHE,1
POLCHL,1
FRAMYS,2
POLCOL,1
POLCZE,1
POLDEU,1
POLDNK,1
POLDOM,1
FRAPAK,2
POLECU,1
FRAPHL,2
POLESP,1
POLFIN,1
POLFRA,1
POLGBR,1
POLGRC,1
POLGTM,1
POLIDN,1
FRARUS,2
POLIRL,1
FRASAU,2
FRASDN,2
POLISR,1
POLITA,1
POLJPN,1
POLKOR,1
FRASGP,2
FRATHA,2
POLMEX,1
FRATUR,2
POLNGA,1
POLNLD,1
POLNOR,1
POLNZL,1
FRAVEN,2
POLPER,1
FRAVNM,2
POLPOL,1
POLPRT,1
GBRBGD,2
GBRCHN,2
GBRDZA,2
GBREGY,2
POLSVK,1
POLSWE,1
GBRIND,2
GBRIRN,2
POLUKR,1
POLUSA,1
GBRIRQ,2
GBRLBY,2
POLZAF,1
PRTARG,1
PRTAUS,1
PRTAUT,1
PRTBEL,1
GBRMAR,2
PRTBRA,1
PRTCAN,1
PRTCHE,1
PRTCHL,1
GBRMYS,2
PRTCOL,1
PRTCZE,1
PRTDEU,1
PRTDNK,1
PRTDOM,1
GBRPAK,2
PRTECU,1
GBRPHL,2
PRTESP,1
PRTFIN,1
PRTFRA,1
PRTGBR,1
PRTGRC,1
PRTGTM,1
PRTIDN,1
GBRRUS,2
PRTIRL,1
GBRSAU,2
GBRSDN,2
PRTISR,1
PRTITA,1
PRTJPN,1
PRTKOR,1
GBRSGP,2
GBRTHA,2
PRTMEX,1
GBRTUR,2
PRTNGA,1
PRTNLD,1
PRTNOR,1
PRTNZL,1
GBRVEN,2
PRTPER,1
GBRVNM,2
PRTPOL,1
PRTPRT,1
GRCBGD,2
GRCCHN,2
GRCDZA,2
GRCEGY,2
PRTSVK,1
PRTSWE,1
GRCIND,2
GRCIRN,2
PRTUKR,1
PRTUSA,1
GRCIRQ,2
GRCLBY,2
PRTZAF,1
GRCMAR,2
GRCMYS,2
GRCPAK,2
GRCPHL,2
RUSBGD,4
GRCRUS,2
GRCSAU,2
GRCSDN,2
GRCSGP,2
RUSCHN,4
GRCTHA,2
GRCTUR,2
GRCVEN,2
GRCVNM,2
GTMBGD,2
RUSDZA,4
GTMCHN,2
RUSEGY,4
GTMDZA,2
GTMEGY,2
GTMIND,2
GTMIRN,2
GTMIRQ,2
GTMLBY,2
GTMMAR,2
RUSIND,4
GTMMYS,2
RUSIRN,4
RUSIRQ,4
GTMPAK,2
GTMPHL,2
GTMRUS,2
GTMSAU,2
RUSLBY,4
RUSMAR,4
GTMSDN,2
RUSMYS,4
GTMSGP,2
GTMTHA,2
GTMTUR,2
GTMVEN,2
RUSPAK,4
GTMVNM,2
RUSPHL,4
IDNBGD,2
IDNCHN,2
RUSRUS,4
RUSSAU,4
RUSSDN,4
RUSSGP,4
IDNDZA,2
IDNEGY,2
RUSTHA,4
RUSTUR,4
IDNIND,2
IDNIRN,2
RUSVEN,4
RUSVNM,4
IDNIRQ,2
IDNLBY,2
IDNMAR,2
IDNMYS,2
IDNPAK,2
SAUBGD,4
IDNPHL,2
IDNRUS,2
IDNSAU,2
IDNSDN,2
SAUCHN,4
IDNSGP,2
IDNTHA,2
IDNTUR,2
IDNVEN,2
IDNVNM,2
SAUDZA,4
IRLBGD,2
SAUEGY,4
IRLCHN,2
IRLDZA,2
IRLEGY,2
IRLIND,2
IRLIRN,2
IRLIRQ,2
IRLLBY,2
SAUIND,4
IRLMAR,2
SAUIRN,4
SAUIRQ,4
IRLMYS,2
IRLPAK,2
IRLPHL,2
IRLRUS,2
SAULBY,4
SAUMAR,4
IRLSAU,2
SAUMYS,4
IRLSDN,2
IRLSGP,2
IRLTHA,2
IRLTUR,2
SAUPAK,4
IRLVEN,2
SAUPHL,4
IRLVNM,2
ISRBGD,2
SAURUS,4
SAUSAU,4
SAUSDN,4
SAUSGP,4
ISRCHN,2
ISRDZA,2
SAUTHA,4
SAUTUR,4
ISREGY,2
ISRIND,2
SAUVEN,4
SAUVNM,4
ISRIRN,2
ISRIRQ,2
ISRLBY,2
ISRMAR,2
ISRMYS,2
SDNBGD,4
ISRPAK,2
ISRPHL,2
ISRRUS,2
ISRSAU,2
SDNCHN,4
ISRSDN,2
ISRSGP,2
ISRTHA,2
ISRTUR,2
ISRVEN,2
SDNDZA,4
ISRVNM,2
SDNEGY,4
ITABGD,2
ITACHN,2
ITADZA,2
ITAEGY,2
ITAIND,2
ITAIRN,2
ITAIRQ,2
SDNIND,4
ITALBY,2
SDNIRN,4
SDNIRQ,4
ITAMAR,2
ITAMYS,2
ITAPAK,2
ITAPHL,2
SDNLBY,4
SDNMAR,4
ITARUS,2
SDNMYS,4
ITASAU,2
ITASDN,2
ITASGP,2
ITATHA,2
SDNPAK,4
ITATUR,2
SDNPHL,4
ITAVEN,2
ITAVNM,2
SDNRUS,4
SDNSAU,4
SDNSDN,4
SDNSGP,4
JPNBGD,2
JPNCHN,2
SDNTHA,4
SDNTUR,4
JPNDZA,2
JPNEGY,2
SDNVEN,4
SDNVNM,4
JPNIND,2
JPNIRN,2
JPNIRQ,2
JPNLBY,2
JPNMAR,2
SGPBGD,4
JPNMYS,2
JPNPAK,2
JPNPHL,2
JPNRUS,2
SGPCHN,4
JPNSAU,2
JPNSDN,2
JPNSGP,2
JPNTHA,2
JPNTUR,2
SGPDZA,4
JPNVEN,2
SGPEGY,4
JPNVNM,2
KORBGD,2
KORCHN,2
KORDZA,2
KOREGY,2
KORIND,2
KORIRN,2
SGPIND,4
KORIRQ,2
SGPIRN,4
SGPIRQ,4
KORLBY,2
KORMAR,2
KORMYS,2
KORPAK,2
SGPLBY,4
SGPMAR,4
KORPHL,2
SGPMYS,4
KORRUS,2
KORSAU,2
KORSDN,2
KORSGP,2
SGPPAK,4
KORTHA,2
SGPPHL,4
KORTUR,2
KORVEN,2
SGPRUS,4
SGPSAU,4
SGPSDN,4
SGPSGP,4
KORVNM,2
MEXBGD,2
SGPTHA,4
SGPTUR,4
MEXCHN,2
MEXDZA,2
SGPVEN,4
SGPVNM,4
MEXEGY,2
SVKARG,1
SVKAUS,1
SVKAUT,1
SVKBEL,1
MEXIND,2
SVKBRA,1
SVKCAN,1
SVKCHE,1
SVKCHL,1
MEXIRN,2
SVKCOL,1
SVKCZE,1
SVKDEU,1
SVKDNK,1
SVKDOM,1
MEXIRQ,2
SVKECU,1
MEXLBY,2
SVKESP,1
SVKFIN,1
SVKFRA,1
SVKGBR,1
SVKGRC,1
SVKGTM,1
SVKIDN,1
MEXMAR,2
SVKIRL,1
MEXMYS,2
MEXPAK,2
SVKISR,1
SVKITA,1
SVKJPN,1
SVKKOR,1
MEXPHL,2
MEXRUS,2
SVKMEX,1
MEXSAU,2
SVKNGA,1
SVKNLD,1
SVKNOR,1
SVKNZL,1
MEXSDN,2
SVKPER,1
MEXSGP,2
SVKPOL,1
SVKPRT,1
MEXTHA,2
MEXTUR,2
MEXVEN,2
MEXVNM,2
SVKSVK,1
SVKSWE,1
NGABGD,2
NGACHN,2
SVKUKR,1
SVKUSA,1
NGADZA,2
NGAEGY,2
SVKZAF,1
SWEARG,1
SWEAUS,1
SWEAUT,1
SWEBEL,1
NGAIND,2
SWEBRA,1
SWECAN,1
SWECHE,1
SWECHL,1
NGAIRN,2
SWECOL,1
SWECZE,1
SWEDEU,1
SWEDNK,1
SWEDOM,1
NGAIRQ,2
SWEECU,1
NGALBY,2
SWEESP,1
SWEFIN,1
SWEFRA,1
SWEGBR,1
SWEGRC,1
SWEGTM,1
SWEIDN,1
NGAMAR,2
SWEIRL,1
NGAMYS,2
NGAPAK,2
SWEISR,1
SWEITA,1
SWEJPN,1
SWEKOR,1
NGAPHL,2
NGARUS,2
SWEMEX,1
NGASAU,2
SWENGA,1
SWENLD,1
SWENOR,1
SWENZL,1
NGASDN,2
SWEPER,1
NGASGP,2
SWEPOL,1
SWEPRT,1
NGATHA,2
NGATUR,2
NGAVEN,2
NGAVNM,2
SWESVK,1
SWESWE,1
NLDBGD,2
NLDCHN,2
SWEUKR,1
SWEUSA,1
NLDDZA,2
NLDEGY,2
SWEZAF,1
NLDIND,2
NLDIRN,2
NLDIRQ,2
NLDLBY,2
THABGD,4
NLDMAR,2
NLDMYS,2
NLDPAK,2
NLDPHL,2
THACHN,4
NLDRUS,2
NLDSAU,2
NLDSDN,2
NLDSGP,2
NLDTHA,2
THADZA,4
NLDTUR,2
THAEGY,4
NLDVEN,2
NLDVNM,2
NORBGD,2
NORCHN,2
NORDZA,2
NOREGY,2
NORIND,2
THAIND,4
NORIRN,2
THAIRN,4
THAIRQ,4
NORIRQ,2
NORLBY,2
NORMAR,2
NORMYS,2
THALBY,4
THAMAR,4
NORPAK,2
THAMYS,4
NORPHL,2
NORRUS,2
NORSAU,2
NORSDN,2
THAPAK,4
NORSGP,2
THAPHL,4
NORTHA,2
NORTUR,2
THARUS,4
THASAU,4
THASDN,4
THASGP,4
NORVEN,2
NORVNM,2
THATHA,4
THATUR,4
NZLBGD,2
NZLCHN,2
THAVEN,4
THAVNM,4
NZLDZA,2
NZLEGY,2
NZLIND,2
NZLIRN,2
NZLIRQ,2
TURBGD,4
NZLLBY,2
NZLMAR,2
NZLMYS,2
NZLPAK,2
TURCHN,4
NZLPHL,2
NZLRUS,2
NZLSAU,2
NZLSDN,2
NZLSGP,2
TURDZA,4
NZLTHA,2
TUREGY,4
NZLTUR,2
NZLVEN,2
NZLVNM,2
PERBGD,2
PERCHN,2
PERDZA,2
PEREGY,2
TURIND,4
PERIND,2
TURIRN,4
TURIRQ,4
PERIRN,2
PERIRQ,2
PERLBY,2
PERMAR,2
TURLBY,4
TURMAR,4
PERMYS,2
TURMYS,4
PERPAK,2
PERPHL,2
PERRUS,2
PERSAU,2
TURPAK,4
PERSDN,2
TURPHL,4
PERSGP,2
PERTHA,2
TURRUS,4
TURSAU,4
TURSDN,4
TURSGP,4
PERTUR,2
PERVEN,2
TURTHA,4
TURTUR,4
PERVNM,2
POLBGD,2
TURVEN,4
TURVNM,4
POLCHN,2
UKRARG,1
UKRAUS,1
UKRAUT,1
UKRBEL,1
POLDZA,2
UKRBRA,1
UKRCAN,1
UKRCHE,1
UKRCHL,1
POLEGY,2
UKRCOL,1
UKRCZE,1
UKRDEU,1
UKRDNK,1
UKRDOM,1
POLIND,2
UKRECU,1
POLIRN,2
UKRESP,1
UKRFIN,1
UKRFRA,1
UKRGBR,1
UKRGRC,1
UKRGTM,1
UKRIDN,1
POLIRQ,2
UKRIRL,1
POLLBY,2
POLMAR,2
UKRISR,1
UKRITA,1
UKRJPN,1
UKRKOR,1
POLMYS,2
POLPAK,2
UKRMEX,1
POLPHL,2
UKRNGA,1
UKRNLD,1
UKRNOR,1
UKRNZL,1
POLRUS,2
UKRPER,1
POLSAU,2
UKRPOL,1
UKRPRT,1
POLSDN,2
POLSGP,2
POLTHA,2
POLTUR,2
UKRSVK,1
UKRSWE,1
POLVEN,2
POLVNM,2
UKRUKR,1
UKRUSA,1
PRTBGD,2
PRTCHN,2
UKRZAF,1
USAARG,1
USAAUS,1
USAAUT,1
USABEL,1
PRTDZA,2
USABRA,1
