o_d,cluster
CANECU,1
EGYKOR,3
CANESP,1
CANFIN,1
CANFRA,1
CANGBR,1
CANGRC,1
CANGTM,1
CANIDN,1
EGYMEX,3
CANIRL,1
EGYNGA,3
EGYNLD,3
CANISR,1
CANITA,1
CANJPN,1
CANKOR,1
EGYNOR,3
EGYNZL,3
CANMEX,1
EGYPER,3
CANNGA,1
CANNLD,1
CANNOR,1
CANNZL,1
EGYPOL,3
CANPER,1
EGYPRT,3
CANPOL,1
CANPRT,1
EGYSVK,3
EGYSWE,3
EGYUKR,3
EGYUSA,3
CANSVK,1
CANSWE,1
EGYZAF,3
INDARG,3
CANUKR,1
CANUSA,1
INDAUS,3
INDAUT,3
CANZAF,1
CHEARG,1
CHEAUS,1
CHEAUT,1
CHEBEL,1
INDBEL,3
CHEBRA,1
CHECAN,1
CHECHE,1
CHECHL,1
INDBRA,3
CHECOL,1
CHECZE,1
CHEDEU,1
CHEDNK,1
CHEDOM,1
INDCAN,3
CHEECU,1
INDCHE,3
CHEESP,1
CHEFIN,1
CHEFRA,1
CHEGBR,1
CHEGRC,1
CHEGTM,1
CHEIDN,1
INDCHL,3
CHEIRL,1
INDCOL,3
INDCZE,3
CHEISR,1
CHEITA,1
CHEJPN,1
CHEKOR,1
INDDEU,3
INDDNK,3
CHEMEX,1
INDDOM,3
CHENGA,1
CHENLD,1
CHENOR,1
CHENZL,1
INDECU,3
CHEPER,1
INDESP,3
CHEPOL,1
CHEPRT,1
INDFIN,3
INDFRA,3
INDGBR,3
INDGRC,3
CHESVK,1
CHESWE,1
INDGTM,3
INDIDN,3
CHEUKR,1
CHEUSA,1
INDIRL,3
INDISR,3
CHEZAF,1
CHLARG,1
CHLAUS,1
CHLAUT,1
CHLBEL,1
INDITA,3
CHLBRA,1
CHLCAN,1
CHLCHE,1
CHLCHL,1
INDJPN,3
CHLCOL,1
CHLCZE,1
CHLDEU,1
CHLDNK,1
CHLDOM,1
INDKOR,3
CHLECU,1
INDMEX,3
CHLESP,1
CHLFIN,1
CHLFRA,1
CHLGBR,1
CHLGRC,1
CHLGTM,1
CHLIDN,1
INDNGA,3
CHLIRL,1
INDNLD,3
INDNOR,3
CHLISR,1
CHLITA,1
CHLJPN,1
CHLKOR,1
INDNZL,3
INDPER,3
CHLMEX,1
INDPOL,3
CHLNGA,1
CHLNLD,1
CHLNOR,1
CHLNZL,1
INDPRT,3
CHLPER,1
INDSVK,3
CHLPOL,1
CHLPRT,1
INDSWE,3
INDUKR,3
INDUSA,3
INDZAF,3
CHLSVK,1
CHLSWE,1
IRNARG,3
IRNAUS,3
CHLUKR,1
CHLUSA,1
IRNAUT,3
IRNBEL,3
CHLZAF,1
IRNBRA,3
IRNCAN,3
IRNCHE,3
IRNCHL,3
CHNBGD,4
IRNCOL,3
IRNCZE,3
IRNDEU,3
IRNDNK,3
CHNCHN,4
IRNDOM,3
IRNECU,3
IRNESP,3
IRNFIN,3
IRNFRA,3
CHNDZA,4
IRNGBR,3
CHNEGY,4
IRNGRC,3
IRNGTM,3
IRNIDN,3
IRNIRL,3
IRNISR,3
IRNITA,3
IRNJPN,3
CHNIND,4
IRNKOR,3
CHNIRN,4
CHNIRQ,4
IRNMEX,3
IRNNGA,3
IRNNLD,3
IRNNOR,3
CHNLBY,4
CHNMAR,4
IRNNZL,3
CHNMYS,4
IRNPER,3
IRNPOL,3
IRNPRT,3
IRNSVK,3
CHNPAK,4
IRNSWE,3
CHNPHL,4
IRNUKR,3
IRNUSA,3
CHNRUS,4
CHNSAU,4
CHNSDN,4
CHNSGP,4
IRNZAF,3
IRQARG,3
