Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MESSAGE-GLOBIOM,SSP1-19,R5.2ASIA,Primary Energy|Gas,EJ/yr,14.515,14.687,14.858,21.873,28.887,36.690,44.494,43.350,42.207,41.886,41.565,38.830,36.095,26.982,17.869,12.982,8.096,6.122,4.148
MESSAGE-GLOBIOM,SSP1-26,R5.2ASIA,Primary Energy|Gas,EJ/yr,14.524,14.950,15.376,20.782,26.189,35.783,45.376,53.378,61.380,67.672,73.965,69.542,65.118,59.539,53.960,47.496,41.032,31.800,22.568
MESSAGE-GLOBIOM,SSP2-45,R5.2ASIA,Primary Energy|Gas,EJ/yr,14.317,15.342,16.367,20.240,24.113,30.957,37.802,45.403,53.003,60.145,67.286,69.811,72.336,73.848,75.360,73.308,71.257,76.935,82.613
MESSAGE-GLOBIOM,SSP3-Baseline,R5.2ASIA,Primary Energy|Gas,EJ/yr,14.363,15.881,17.399,21.356,25.313,26.093,26.874,28.410,29.946,34.823,39.700,47.218,54.736,56.616,58.497,54.455,50.414,44.692,38.971
REMIND-MAGPIE,SSP1-19,R5.2ASIA,Primary Energy|Gas,EJ/yr,13.643,21.327,29.011,28.739,28.466,23.585,18.703,14.460,10.216,7.770,5.324,3.196,1.067,0.535,0.003,0.002,0.002,0.001,0.001
REMIND-MAGPIE,SSP1-26,R5.2ASIA,Primary Energy|Gas,EJ/yr,13.643,21.327,29.011,39.991,50.970,55.845,60.720,56.610,52.500,46.285,40.070,33.912,27.754,24.448,21.142,16.347,11.551,7.442,3.333
REMIND-MAGPIE,SSP2-45,R5.2ASIA,Primary Energy|Gas,EJ/yr,13.944,21.504,29.064,36.898,44.732,49.666,54.600,59.595,64.590,66.075,67.560,66.780,66.000,64.780,63.560,59.470,55.380,55.135,54.890
REMIND-MAGPIE,SSP5-34,R5.2ASIA,Primary Energy|Gas,EJ/yr,15.222,27.272,39.321,61.321,83.320,99.865,116.410,120.460,124.510,118.325,112.140,102.885,93.630,77.930,62.230,44.501,26.771,20.985,15.198
REMIND-MAGPIE,SSP5-Baseline,R5.2ASIA,Primary Energy|Gas,EJ/yr,15.222,23.979,32.735,44.742,56.748,70.869,84.990,95.150,105.310,112.335,119.360,126.470,133.580,134.675,135.770,130.595,125.420,122.875,120.330
WITCH-GLOBIOM,SSP1-19,R5.2ASIA,Primary Energy|Gas,EJ/yr,17.343,20.825,24.307,14.478,4.648,4.538,4.428,4.494,4.561,4.677,4.792,4.262,3.732,3.009,2.286,1.835,1.384,1.138,0.892
