Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IMAGE,SSP3-Baseline,R5.2ASIA,Agricultural Production|Crops|Non-Energy,million t DM/yr,1708.654,1926.787,2144.920,2300.019,2455.118,2508.850,2562.582,2616.843,2671.104,2707.732,2744.359,2780.522,2816.685,2853.098,2889.512,2926.353,2963.194,2999.903,3036.613
IMAGE,SSP4-34,R5.2ASIA,Agricultural Production|Crops|Non-Energy,million t DM/yr,1708.654,1886.695,2064.736,2171.543,2278.349,2318.509,2358.670,2397.851,2437.032,2431.172,2425.312,2420.121,2414.930,2409.966,2405.001,2400.060,2395.119,2390.182,2385.245
IMAGE,SSP4-60,R5.2ASIA,Agricultural Production|Crops|Non-Energy,million t DM/yr,1708.654,1891.689,2074.725,2187.212,2299.699,2339.449,2379.199,2418.169,2457.139,2449.941,2442.743,2435.475,2428.208,2421.198,2414.188,2407.503,2400.818,2394.061,2387.303
IMAGE,SSP5-34,R5.2ASIA,Agricultural Production|Crops|Non-Energy,million t DM/yr,1708.448,1902.500,2096.552,2233.797,2371.042,2430.655,2490.269,2549.979,2609.688,2613.886,2618.084,2622.165,2626.246,2631.767,2637.287,2640.108,2642.929,2647.767,2652.605
IMAGE,SSP5-Baseline,R5.2ASIA,Agricultural Production|Crops|Non-Energy,million t DM/yr,1708.448,1911.756,2115.064,2263.957,2412.851,2475.709,2538.567,2601.641,2664.715,2668.503,2672.291,2676.166,2680.041,2684.170,2688.298,2692.446,2696.594,2700.840,2705.085
MESSAGE-GLOBIOM,SSP1-19,R5.2ASIA,Agricultural Production|Crops|Non-Energy,million t DM/yr,1307.009,1361.639,1416.268,1462.645,1509.022,1532.872,1556.722,1539.165,1521.609,1471.962,1422.315,1350.671,1279.027,1203.125,1127.222,1067.840,1008.458,949.933,891.408
MESSAGE-GLOBIOM,SSP1-26,R5.2ASIA,Agricultural Production|Crops|Non-Energy,million t DM/yr,1307.009,1381.319,1455.630,1518.420,1581.210,1615.939,1650.668,1653.624,1656.580,1625.913,1595.245,1537.039,1478.832,1408.349,1337.865,1250.203,1162.540,1088.673,1014.806
MESSAGE-GLOBIOM,SSP2-45,R5.2ASIA,Agricultural Production|Crops|Non-Energy,million t DM/yr,1307.009,1424.942,1542.875,1650.093,1757.310,1840.617,1923.924,1984.144,2044.364,2063.151,2081.938,2067.147,2052.356,2018.899,1985.443,1937.283,1889.123,1822.765,1756.408
MESSAGE-GLOBIOM,SSP3-Baseline,R5.2ASIA,Agricultural Production|Crops|Non-Energy,million t DM/yr,1307.009,1422.576,1538.142,1637.844,1737.545,1808.081,1878.618,1938.309,1997.999,2044.543,2091.086,2132.339,2173.593,2204.608,2235.624,2272.570,2309.517,2347.059,2384.601
REMIND-MAGPIE,SSP1-19,R5.2ASIA,Agricultural Production|Crops|Non-Energy,million t DM/yr,1549.571,1672.400,1795.228,1910.774,2026.320,2081.469,2136.618,2091.765,2046.913,1989.285,1931.656,1897.729,1863.802,1761.423,1659.045,1583.764,1508.483,1478.575,1448.668
