Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE,SSP4-34,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1131.646,1214.623,1297.599,1384.515,1471.431,1548.695,1625.960,1691.005,1756.050,1814.043,1872.035,1917.012,1961.990,1990.473,2018.957,2037.597,2056.236,2066.446,2076.655
AIM/CGE,SSP5-34,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1130.536,1228.683,1326.830,1464.093,1601.355,1768.761,1936.166,2116.366,2296.565,2487.673,2678.780,2838.052,2997.324,3099.775,3202.226,3287.474,3372.721,3483.648,3594.576
AIM/CGE,SSP5-Baseline,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1130.633,1228.172,1325.710,1458.707,1591.704,1738.129,1884.555,2049.335,2214.115,2388.095,2562.075,2744.289,2926.503,3111.632,3296.760,3495.198,3693.635,3894.692,4095.748
GCAM4,SSP1-19,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1073.274,1086.699,1100.124,1167.433,1234.743,1237.811,1240.880,1225.791,1210.702,1203.274,1195.846,1172.393,1148.941,1114.776,1080.612,1036.639,992.667,939.179,885.692
GCAM4,SSP1-26,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1073.274,1082.243,1091.212,1145.358,1199.503,1208.815,1218.127,1212.815,1207.503,1210.290,1213.078,1199.371,1185.664,1157.372,1129.080,1087.105,1045.130,991.342,937.553
GCAM4,SSP2-45,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1073.274,1104.035,1134.796,1186.446,1238.096,1299.229,1360.361,1438.167,1515.972,1588.706,1661.440,1707.747,1754.055,1775.454,1796.853,1806.410,1815.967,1806.285,1796.602
GCAM4,SSP3-Baseline,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1073.274,1108.839,1144.404,1205.341,1266.277,1321.872,1377.468,1438.724,1499.980,1573.289,1646.597,1734.756,1822.914,1924.243,2025.573,2115.773,2205.972,2299.976,2393.979
GCAM4,SSP4-34,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1073.274,1139.388,1205.501,1285.631,1365.762,1379.067,1392.372,1373.083,1353.794,1333.690,1313.586,1280.293,1247.001,1207.127,1167.254,1120.998,1074.742,1030.455,986.168
GCAM4,SSP4-60,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1073.274,1139.388,1205.501,1290.536,1375.570,1424.420,1473.270,1518.028,1562.786,1605.322,1647.858,1682.344,1716.831,1741.027,1765.223,1767.699,1770.176,1759.648,1749.119
GCAM4,SSP5-34,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1073.274,1101.164,1129.053,1177.344,1225.635,1304.736,1383.838,1437.245,1490.651,1517.060,1543.469,1543.101,1542.733,1530.531,1518.329,1479.544,1440.760,1389.520,1338.280
GCAM4,SSP5-Baseline,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1073.274,1101.696,1130.117,1179.088,1228.059,1251.493,1274.928,1296.100,1317.273,1354.457,1391.642,1419.541,1447.440,1469.787,1492.134,1490.894,1489.654,1474.155,1458.657
IMAGE,SSP1-19,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1008.458,1029.792,1051.125,1063.039,1074.954,1084.591,1094.228,1106.340,1118.452,1113.342,1108.232,1103.136,1098.039,1092.957,1087.874,1082.804,1077.735,1072.680,1067.624
IMAGE,SSP1-26,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1008.458,1029.791,1051.124,1060.626,1070.128,1082.327,1094.526,1106.548,1118.570,1113.425,1108.281,1103.171,1098.060,1092.970,1087.880,1082.809,1077.738,1072.682,1067.626
IMAGE,SSP2-45,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1008.459,1055.186,1101.913,1136.922,1171.932,1197.147,1222.362,1247.056,1271.750,1277.361,1282.972,1288.676,1294.380,1300.126,1305.873,1311.636,1317.398,1323.234,1329.071
IMAGE,SSP3-Baseline,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1008.459,1074.818,1141.177,1192.255,1243.333,1269.004,1294.674,1321.223,1347.772,1367.063,1386.354,1403.648,1420.942,1439.282,1457.621,1476.011,1494.400,1513.442,1532.484
IMAGE,SSP4-34,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1008.458,1051.330,1094.202,1126.489,1158.775,1181.596,1204.416,1227.717,1251.018,1258.948,1266.878,1276.402,1285.926,1295.463,1305.000,1314.537,1324.073,1333.607,1343.140
IMAGE,SSP4-60,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1008.458,1050.373,1092.288,1123.232,1154.175,1176.387,1198.598,1219.638,1240.678,1248.172,1255.666,1263.705,1271.744,1279.979,1288.214,1296.287,1304.361,1312.511,1320.661
IMAGE,SSP5-34,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1008.557,1083.425,1158.293,1226.976,1295.660,1332.380,1369.100,1407.111,1445.121,1461.558,1477.995,1493.648,1509.301,1528.801,1548.302,1561.137,1573.972,1590.334,1606.696
IMAGE,SSP5-Baseline,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1008.557,1081.643,1154.729,1220.015,1285.301,1319.352,1353.402,1394.212,1435.021,1450.356,1465.691,1479.082,1492.474,1511.910,1531.346,1549.788,1568.230,1583.586,1598.943
MESSAGE-GLOBIOM,SSP1-19,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,884.834,907.134,929.433,937.680,945.927,943.885,941.842,942.752,943.662,936.624,929.586,917.773,905.960,869.398,832.837,774.560,716.283,653.596,590.908
MESSAGE-GLOBIOM,SSP1-26,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,884.834,913.933,943.032,953.680,964.329,965.308,966.287,966.784,967.280,966.869,966.458,958.906,951.353,932.560,913.767,888.577,863.387,818.820,774.252
MESSAGE-GLOBIOM,SSP2-45,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,884.834,933.114,981.394,1018.336,1055.278,1082.650,1110.022,1134.928,1159.835,1180.902,1201.969,1220.436,1238.904,1252.011,1265.118,1267.391,1269.664,1262.336,1255.009
MESSAGE-GLOBIOM,SSP3-Baseline,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,884.834,932.017,979.199,1008.324,1037.449,1059.561,1081.672,1105.308,1128.943,1152.409,1175.874,1201.439,1227.004,1250.055,1273.105,1297.585,1322.066,1349.148,1376.230
REMIND-MAGPIE,SSP1-19,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1063.582,1072.907,1082.232,1067.647,1053.063,1044.707,1036.351,1072.537,1108.723,1173.901,1239.079,1208.676,1178.273,1132.335,1086.397,1010.261,934.126,918.242,902.358
REMIND-MAGPIE,SSP1-26,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1064.082,1072.448,1080.814,1055.215,1029.617,1014.170,998.723,996.931,995.139,946.557,897.976,891.782,885.587,834.024,782.461,715.104,647.747,594.052,540.358
REMIND-MAGPIE,SSP2-45,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1092.088,1124.880,1157.673,1171.465,1185.257,1202.775,1220.292,1231.015,1241.738,1250.416,1259.095,1269.875,1280.656,1271.772,1262.889,1254.935,1246.982,1248.236,1249.491
REMIND-MAGPIE,SSP5-34,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1064.602,1083.153,1101.705,1093.307,1084.910,1083.884,1082.859,1082.682,1082.504,1115.445,1148.386,1153.366,1158.347,1169.608,1180.869,1210.645,1240.421,1257.893,1275.365
REMIND-MAGPIE,SSP5-Baseline,R5.2OECD,Agricultural Production|Crops|Non-Energy,million t DM/yr,1064.483,1082.964,1101.446,1094.098,1086.751,1080.206,1073.662,1086.993,1100.325,1113.035,1125.746,1141.332,1156.919,1172.474,1188.029,1186.493,1184.957,1182.193,1179.428
AIM/CGE,SSP1-19,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,199.105,199.815,200.525,204.932,209.339,210.164,210.990,207.882,204.773,202.161,199.548,195.147,190.745,183.624,176.504,167.640,158.776,150.175,141.575
AIM/CGE,SSP1-26,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,199.104,199.812,200.519,201.480,202.442,203.798,205.155,202.747,200.339,196.053,191.768,186.252,180.735,173.401,166.067,158.172,150.277,142.104,133.930
AIM/CGE,SSP2-45,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,199.342,201.255,203.168,204.633,206.098,208.008,209.917,211.770,213.623,215.857,218.091,219.308,220.525,218.846,217.166,213.136,209.106,204.891,200.677
AIM/CGE,SSP3-Baseline,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,199.774,203.051,206.328,208.831,211.335,213.699,216.062,218.094,220.126,222.830,225.534,229.530,233.526,238.593,243.660,249.351,255.043,260.869,266.696
AIM/CGE,SSP4-34,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,200.861,203.459,206.056,207.534,209.012,209.642,210.272,208.183,206.094,202.802,199.510,194.786,190.063,183.177,176.292,169.003,161.714,153.920,146.125
AIM/CGE,SSP5-34,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,199.380,200.782,202.185,205.406,208.627,213.862,219.096,219.792,220.489,220.526,220.564,219.578,218.592,213.408,208.224,201.110,193.995,185.206,176.416
AIM/CGE,SSP5-Baseline,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,199.372,200.430,201.488,202.957,204.425,205.877,207.328,205.771,204.213,200.884,197.555,192.772,187.989,181.091,174.192,166.073,157.954,150.223,142.492
GCAM4,SSP1-19,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,104.855,105.985,107.115,101.151,95.186,91.099,87.012,82.452,77.892,76.432,74.973,73.112,71.252,68.864,66.476,63.483,60.491,57.110,53.729
GCAM4,SSP1-26,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,104.855,100.509,96.163,91.945,87.727,86.020,84.313,80.689,77.065,75.133,73.202,70.563,67.923,65.651,63.378,60.786,58.194,55.152,52.109
GCAM4,SSP2-45,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,104.855,104.494,104.133,104.945,105.757,110.646,115.536,119.643,123.751,124.662,125.574,124.720,123.866,123.815,123.763,123.490,123.218,121.462,119.707
GCAM4,SSP3-Baseline,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,104.855,107.164,109.474,113.786,118.099,124.827,131.554,139.239,146.924,155.845,164.766,175.286,185.805,198.251,210.696,222.169,233.642,245.925,258.208
GCAM4,SSP4-34,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,104.855,102.939,101.024,99.548,98.072,100.115,102.158,102.729,103.299,104.689,106.079,107.834,109.590,113.299,117.008,120.246,123.483,124.106,124.730
GCAM4,SSP4-60,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,104.855,102.939,101.024,99.551,98.079,100.631,103.182,104.436,105.690,106.873,108.056,108.885,109.714,110.141,110.567,109.830,109.092,108.016,106.940
GCAM4,SSP5-34,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,104.855,101.341,97.828,95.531,93.234,95.927,98.621,96.013,93.405,89.784,86.163,84.329,82.494,81.443,80.393,78.152,75.911,72.890,69.870
GCAM4,SSP5-Baseline,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,104.855,101.214,97.573,95.277,92.981,95.305,97.630,99.284,100.939,103.322,105.704,107.123,108.541,109.283,110.026,109.051,108.076,105.913,103.751
IMAGE,SSP1-19,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,199.049,212.646,226.243,240.954,255.665,264.631,273.597,282.551,291.506,288.515,285.523,282.538,279.553,276.574,273.595,270.622,267.649,264.683,261.716
IMAGE,SSP1-26,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,199.049,212.646,226.243,240.954,255.665,264.631,273.597,282.551,291.506,288.515,285.523,282.538,279.553,276.574,273.595,270.622,267.649,264.683,261.716
IMAGE,SSP2-45,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,199.049,213.929,228.809,243.662,258.514,266.241,273.968,281.684,289.399,292.015,294.630,297.242,299.853,302.461,305.069,307.674,310.278,312.879,315.480
IMAGE,SSP3-Baseline,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,199.049,216.640,234.231,250.688,267.145,275.625,284.105,292.571,301.038,306.173,311.307,316.433,321.559,326.677,331.794,336.903,342.012,347.112,352.212
IMAGE,SSP4-34,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,199.049,213.019,226.988,239.575,252.162,261.093,270.024,278.941,287.859,291.167,294.475,297.779,301.083,304.382,307.682,310.978,314.273,317.564,320.856
IMAGE,SSP4-60,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,199.049,212.868,226.686,239.039,251.391,260.179,268.968,277.743,286.518,289.746,292.974,296.198,299.421,302.641,305.861,309.076,312.292,315.503,318.715
IMAGE,SSP5-34,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,199.052,215.249,231.445,248.814,266.184,274.990,283.796,292.588,301.380,303.772,306.163,308.553,310.942,313.329,315.715,318.100,320.484,322.866,325.248
IMAGE,SSP5-Baseline,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,199.052,215.149,231.247,248.596,265.945,274.581,283.218,291.840,300.462,302.863,305.263,307.661,310.059,312.454,314.849,317.242,319.635,322.026,324.416
MESSAGE-GLOBIOM,SSP1-19,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,152.437,161.848,171.259,182.152,193.045,199.232,205.419,204.396,203.372,201.018,198.663,195.777,192.891,189.889,186.886,184.748,182.609,179.808,177.008
MESSAGE-GLOBIOM,SSP1-26,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,152.437,162.029,171.622,180.970,190.318,196.781,203.244,206.530,209.815,208.702,207.589,204.318,201.048,197.466,193.884,188.096,182.308,177.826,173.343
MESSAGE-GLOBIOM,SSP2-45,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,152.437,163.371,174.306,185.120,195.934,203.926,211.918,216.752,221.585,225.294,229.004,232.596,236.188,238.235,240.282,237.314,234.345,229.393,224.440
MESSAGE-GLOBIOM,SSP3-Baseline,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,152.436,162.661,172.885,182.176,191.466,197.653,203.840,206.808,209.777,211.798,213.820,216.877,219.934,222.680,225.425,227.954,230.482,232.604,234.727
REMIND-MAGPIE,SSP1-19,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,156.771,164.682,172.593,161.748,150.903,153.191,155.480,167.325,179.171,194.447,209.724,217.475,225.226,255.042,284.858,263.060,241.263,196.012,150.762
REMIND-MAGPIE,SSP1-26,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,159.217,164.388,169.559,158.897,148.235,143.016,137.797,135.796,133.795,140.433,147.071,146.481,145.892,142.859,139.827,131.995,124.163,135.558,146.952
REMIND-MAGPIE,SSP2-45,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,163.715,169.542,175.370,178.593,181.817,176.517,171.217,169.641,168.064,165.428,162.792,156.994,151.197,148.123,145.048,145.792,146.535,143.053,139.572
REMIND-MAGPIE,SSP5-34,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,155.311,162.887,170.464,163.938,157.412,153.401,149.391,154.600,159.809,166.760,173.711,172.244,170.777,178.315,185.853,199.893,213.934,217.853,221.772
REMIND-MAGPIE,SSP5-Baseline,R5.2REF,Agricultural Production|Crops|Non-Energy,million t DM/yr,156.374,162.635,168.896,165.845,162.795,160.888,158.982,157.645,156.307,153.241,150.175,157.443,164.712,178.103,191.495,188.058,184.621,178.932,173.243
AIM/CGE,SSP1-19,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3516.132,3750.011,3983.890,4223.395,4462.901,4680.889,4898.878,5015.992,5133.105,5191.321,5249.537,5248.577,5247.617,5194.135,5140.653,5050.491,4960.329,4828.087,4695.844
AIM/CGE,SSP1-26,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3516.139,3749.978,3983.817,4202.776,4421.736,4622.129,4822.523,4969.349,5116.176,5208.695,5301.215,5333.997,5366.780,5324.074,5281.368,5190.990,5100.612,4971.217,4841.822
AIM/CGE,SSP2-45,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3523.635,3786.784,4049.934,4304.422,4558.910,4785.351,5011.791,5225.132,5438.473,5625.485,5812.497,5964.353,6116.210,6221.920,6327.630,6386.360,6445.091,6467.781,6490.471
AIM/CGE,SSP3-Baseline,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3546.643,3833.966,4121.289,4405.073,4688.857,4938.106,5187.355,5425.430,5663.504,5881.253,6099.001,6300.757,6502.513,6695.112,6887.710,7074.175,7260.641,7449.857,7639.074
AIM/CGE,SSP4-34,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3521.614,3773.447,4025.281,4259.601,4493.920,4687.039,4880.158,5030.276,5180.395,5289.315,5398.236,5468.715,5539.194,5575.026,5610.858,5625.750,5640.642,5640.814,5640.986
AIM/CGE,SSP5-34,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3524.060,3779.998,4035.936,4316.554,4597.173,4901.977,5206.781,5482.318,5757.854,5991.448,6225.041,6388.419,6551.797,6613.729,6675.661,6689.777,6703.893,6718.874,6733.856
AIM/CGE,SSP5-Baseline,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3524.126,3778.966,4033.806,4314.077,4594.348,4873.754,5153.161,5404.840,5656.519,5867.663,6078.806,6257.518,6436.231,6579.102,6721.973,6845.631,6969.289,7069.648,7170.007
GCAM4,SSP1-19,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3480.773,3548.307,3615.842,3728.614,3841.385,3908.682,3975.979,4003.980,4031.981,4012.271,3992.561,3927.005,3861.449,3761.133,3660.816,3525.808,3390.800,3225.256,3059.713
GCAM4,SSP1-26,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3480.773,3567.427,3654.081,3776.421,3898.762,3975.419,4052.077,4100.176,4148.274,4146.044,4143.814,4094.739,4045.665,3959.348,3873.030,3746.807,3620.583,3458.804,3297.026
GCAM4,SSP2-45,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3480.773,3609.163,3737.554,3940.994,4144.434,4328.792,4513.151,4692.153,4871.155,4992.666,5114.176,5195.193,5276.211,5318.182,5360.153,5369.638,5379.123,5347.732,5316.340
GCAM4,SSP3-Baseline,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3480.773,3609.239,3737.706,3960.065,4182.425,4394.359,4606.293,4818.500,5030.707,5233.503,5436.299,5660.423,5884.548,6135.365,6386.181,6617.150,6848.118,7089.632,7331.147
GCAM4,SSP4-34,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3480.773,3607.112,3733.451,3922.326,4111.202,4261.371,4411.541,4530.462,4649.384,4720.138,4790.892,4846.290,4901.688,4950.041,4998.394,4974.577,4950.759,4803.467,4656.175
GCAM4,SSP4-60,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3480.773,3607.112,3733.451,3925.824,4118.197,4281.359,4444.520,4585.365,4726.210,4817.261,4908.312,4973.712,5039.112,5082.695,5126.279,5136.931,5147.582,5150.046,5152.510
GCAM4,SSP5-34,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3480.773,3606.477,3732.182,3924.473,4116.763,4290.711,4464.658,4609.503,4754.347,4794.085,4833.823,4814.865,4795.907,4751.628,4707.349,4601.137,4494.925,4348.651,4202.377
GCAM4,SSP5-Baseline,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3480.773,3605.625,3730.478,3923.138,4115.799,4281.053,4446.307,4586.719,4727.131,4802.066,4877.001,4909.724,4942.446,4946.563,4950.680,4890.924,4831.169,4727.662,4624.155
IMAGE,SSP1-19,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3813.367,4083.994,4354.620,4649.420,4944.219,5045.948,5147.676,5301.918,5456.159,5460.333,5464.506,5468.859,5473.212,5477.590,5481.968,5486.381,5490.793,5495.240,5499.687
IMAGE,SSP1-26,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3813.367,4084.632,4355.897,4591.527,4827.157,5040.947,5254.736,5366.219,5477.702,5474.452,5471.201,5475.400,5479.598,5482.893,5486.188,5490.737,5495.285,5502.187,5509.088
IMAGE,SSP2-45,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3813.725,4187.422,4561.119,4879.756,5198.393,5504.896,5811.399,5929.814,6048.228,6082.422,6116.615,6170.075,6223.534,6277.133,6330.731,6383.640,6436.548,6489.742,6542.936
IMAGE,SSP3-Baseline,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3813.537,4266.795,4720.053,5096.407,5472.761,5691.744,5910.727,6101.557,6292.387,6380.970,6469.553,6566.582,6663.611,6764.183,6864.754,6970.661,7076.567,7180.744,7284.921
IMAGE,SSP4-34,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3813.848,4174.518,4535.187,4809.681,5084.175,5338.860,5593.545,5649.515,5705.485,5734.721,5763.956,5808.111,5852.266,5896.273,5940.279,5984.379,6028.478,6073.690,6118.901
IMAGE,SSP4-60,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3813.841,4179.459,4545.077,4831.874,5118.670,5412.151,5705.632,5741.206,5776.779,5800.012,5823.245,5864.632,5906.018,5948.973,5991.927,6033.231,6074.534,6116.704,6158.873
IMAGE,SSP5-34,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3814.095,4239.502,4664.908,5085.518,5506.127,5776.691,6047.255,6220.276,6393.296,6432.780,6472.263,6530.407,6588.550,6672.609,6756.668,6804.130,6851.591,6905.601,6959.611
IMAGE,SSP5-Baseline,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3814.090,4248.854,4683.618,5095.201,5506.783,5849.000,6191.217,6387.129,6583.041,6619.538,6656.034,6715.792,6775.550,6858.393,6941.235,7014.730,7088.224,7156.064,7223.904
MESSAGE-GLOBIOM,SSP1-19,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3032.884,3171.501,3310.117,3432.769,3555.421,3637.570,3719.719,3738.813,3757.906,3722.346,3686.785,3612.474,3538.162,3424.743,3311.324,3180.825,3050.325,2907.477,2764.629
MESSAGE-GLOBIOM,SSP1-26,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3032.884,3201.757,3370.629,3511.962,3653.294,3751.335,3849.376,3896.271,3943.165,3930.731,3918.298,3856.574,3794.850,3695.907,3596.963,3468.622,3340.281,3192.141,3044.001
MESSAGE-GLOBIOM,SSP2-45,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3032.884,3287.104,3541.324,3789.696,4038.069,4245.194,4452.318,4618.583,4784.848,4894.759,5004.669,5065.985,5127.301,5147.748,5168.195,5139.521,5110.847,5045.119,4979.390
MESSAGE-GLOBIOM,SSP3-Baseline,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3032.884,3278.725,3524.567,3742.250,3959.932,4134.491,4309.049,4465.536,4622.022,4760.715,4899.408,5034.445,5169.482,5302.830,5436.178,5570.607,5705.036,5837.577,5970.117
REMIND-MAGPIE,SSP1-19,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3762.576,4124.637,4486.698,4623.901,4761.105,4845.527,4929.948,4982.187,5034.426,5041.019,5047.613,4967.283,4886.953,4752.246,4617.539,4416.140,4214.742,3994.351,3773.961
REMIND-MAGPIE,SSP1-26,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3761.679,4125.374,4489.069,4619.009,4748.948,4822.205,4895.461,4953.712,5011.964,4966.973,4921.983,4815.620,4709.257,4592.556,4475.855,4377.082,4278.309,4070.328,3862.348
REMIND-MAGPIE,SSP2-45,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3769.837,4160.556,4551.276,4806.816,5062.355,5270.016,5477.677,5643.143,5808.609,5915.638,6022.668,6109.308,6195.948,6242.864,6289.781,6330.038,6370.296,6398.372,6426.448
REMIND-MAGPIE,SSP5-34,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3758.809,4143.281,4527.752,4739.238,4950.724,5142.959,5335.194,5525.647,5716.100,5859.756,6003.412,6091.694,6179.976,6209.736,6239.496,6225.341,6211.187,6187.344,6163.502
REMIND-MAGPIE,SSP5-Baseline,World,Agricultural Production|Crops|Non-Energy,million t DM/yr,3758.394,4140.765,4523.136,4732.710,4942.283,5131.456,5320.628,5539.835,5759.042,5894.516,6029.990,6119.280,6208.571,6258.340,6308.109,6303.016,6297.923,6247.882,6197.841
