Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MESSAGE-GLOBIOM,SSP1-19,R5.2ASIA,Primary Energy|Oil,EJ/yr,40.741,48.260,55.780,57.986,60.192,61.708,63.223,51.311,39.398,25.956,12.514,7.867,3.219,1.895,0.571,0.286,0.000,0.000,0.000
MESSAGE-GLOBIOM,SSP1-26,R5.2ASIA,Primary Energy|Oil,EJ/yr,40.760,47.964,55.169,60.489,65.809,73.794,81.779,81.164,80.549,68.119,55.689,44.131,32.573,23.969,15.365,10.416,5.467,3.159,0.852
MESSAGE-GLOBIOM,SSP2-45,R5.2ASIA,Primary Energy|Oil,EJ/yr,41.467,49.257,57.047,60.246,63.445,69.720,75.996,78.575,81.153,76.783,72.413,66.294,60.174,53.522,46.871,37.025,27.178,20.141,13.103
MESSAGE-GLOBIOM,SSP3-Baseline,R5.2ASIA,Primary Energy|Oil,EJ/yr,41.001,55.706,70.411,79.663,88.915,95.683,102.451,102.276,102.100,91.859,81.617,67.903,54.188,37.806,21.425,13.104,4.783,2.540,0.298
REMIND-MAGPIE,SSP1-19,R5.2ASIA,Primary Energy|Oil,EJ/yr,39.674,45.641,51.607,56.299,60.990,60.245,59.500,48.115,36.730,25.053,13.375,8.337,3.299,2.630,1.960,1.770,1.581,1.474,1.367
REMIND-MAGPIE,SSP1-26,R5.2ASIA,Primary Energy|Oil,EJ/yr,39.674,45.641,51.607,58.634,65.660,70.575,75.490,73.565,71.640,58.500,45.360,34.042,22.724,16.414,10.104,6.508,2.913,2.359,1.805
REMIND-MAGPIE,SSP2-45,R5.2ASIA,Primary Energy|Oil,EJ/yr,40.052,46.662,53.271,61.696,70.120,76.615,83.110,82.525,81.940,76.570,71.200,66.625,62.050,58.490,54.930,50.720,46.509,47.769,49.029
REMIND-MAGPIE,SSP5-34,R5.2ASIA,Primary Energy|Oil,EJ/yr,40.089,55.835,71.580,91.600,111.620,118.795,125.970,126.450,126.930,115.475,104.020,83.835,63.650,48.607,33.564,25.487,17.410,14.355,11.300
REMIND-MAGPIE,SSP5-Baseline,R5.2ASIA,Primary Energy|Oil,EJ/yr,40.089,56.055,72.020,93.020,114.020,122.685,131.350,132.655,133.960,124.685,115.410,98.095,80.780,68.841,56.901,47.847,38.792,31.126,23.459
WITCH-GLOBIOM,SSP1-19,R5.2ASIA,Primary Energy|Oil,EJ/yr,49.415,58.478,67.542,49.282,31.022,29.161,27.301,22.391,17.481,13.874,10.267,8.325,6.383,4.498,2.612,1.313,0.013,0.006,0.000
