Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE,SSP3-34,R5.2LAM,Consumption,billion US$2005/yr,2320.528,2875.834,3431.140,3973.963,4516.787,4928.114,5339.442,5714.318,6089.194,6464.523,6839.852,7216.375,7592.898,7992.952,8393.006,8805.011,9217.017,9698.303,10179.588
AIM/CGE,SSP3-45,R5.2LAM,Consumption,billion US$2005/yr,2320.528,2875.834,3431.140,3974.869,4518.598,4955.359,5392.120,5793.972,6195.824,6576.305,6956.786,7367.833,7778.881,8231.867,8684.852,9141.528,9598.204,10096.860,10595.517
AIM/CGE,SSP3-60,R5.2LAM,Consumption,billion US$2005/yr,2320.528,2875.834,3431.140,3974.901,4518.663,4961.377,5404.091,5818.802,6233.513,6655.006,7076.499,7520.118,7963.737,8439.311,8914.886,9414.351,9913.816,10469.683,11025.551
AIM/CGE,SSP3-Baseline,R5.2LAM,Consumption,billion US$2005/yr,2320.312,2875.075,3429.838,3974.247,4518.656,4966.652,5414.648,5838.882,6263.115,6691.501,7119.886,7575.022,8030.158,8523.954,9017.750,9524.097,10030.445,10568.259,11106.074
AIM/CGE,SSP4-26,R5.2LAM,Consumption,billion US$2005/yr,2319.399,2842.363,3365.326,3944.375,4523.425,5127.511,5731.596,6345.755,6959.914,7579.325,8198.736,8791.591,9384.446,9939.096,10493.746,11009.405,11525.064,12014.315,12503.566
AIM/CGE,SSP4-34,R5.2LAM,Consumption,billion US$2005/yr,2319.399,2842.363,3365.326,3951.382,4537.438,5152.636,5767.834,6382.798,6997.763,7620.473,8243.182,8840.799,9438.416,9994.687,10550.957,11064.749,11578.540,12065.739,12552.937
AIM/CGE,SSP4-45,R5.2LAM,Consumption,billion US$2005/yr,2319.399,2842.363,3365.326,3953.135,4540.945,5159.198,5777.450,6394.816,7012.182,7639.706,8267.231,8868.568,9469.905,10027.470,10585.034,11098.536,11612.037,12098.793,12585.548
AIM/CGE,SSP4-Baseline,R5.2LAM,Consumption,billion US$2005/yr,2319.420,2842.293,3365.167,3951.963,4538.759,5156.576,5774.392,6391.476,7008.559,7636.195,8263.831,8865.451,9467.072,10026.553,10586.034,11103.363,11620.691,12110.876,12601.060
AIM/CGE,SSP5-26,R5.2LAM,Consumption,billion US$2005/yr,2320.156,2845.518,3370.879,4204.490,5038.101,6321.648,7605.194,9119.248,10633.302,12232.424,13831.546,15436.520,17041.493,18603.673,20165.854,21720.023,23274.192,24750.885,26227.577
AIM/CGE,SSP5-34,R5.2LAM,Consumption,billion US$2005/yr,2320.156,2845.518,3370.879,4238.784,5106.689,6431.673,7756.658,9298.682,10840.706,12463.276,14085.845,15705.685,17325.526,18901.590,20477.655,22058.519,23639.384,25146.720,26654.057
AIM/CGE,SSP5-45,R5.2LAM,Consumption,billion US$2005/yr,2320.156,2845.518,3370.879,4248.094,5125.310,6469.604,7813.897,9360.479,10907.061,12546.828,14186.595,15832.267,17477.939,19090.658,20703.376,22308.080,23912.783,25405.754,26898.725
AIM/CGE,SSP5-60,R5.2LAM,Consumption,billion US$2005/yr,2320.156,2845.518,3370.879,4249.304,5127.729,6476.147,7824.565,9382.902,10941.239,12594.412,14247.586,15911.714,17575.843,19204.132,20832.422,22467.645,24102.869,25561.272,27019.676
AIM/CGE,SSP5-Baseline,R5.2LAM,Consumption,billion US$2005/yr,2319.964,2845.075,3370.186,4250.604,5131.021,6487.002,7842.983,9413.149,10983.315,12653.307,14323.299,15999.877,17676.455,19307.779,20939.103,22582.100,24225.097,25707.292,27189.487
IMAGE,SSP1-19,R5.2LAM,Consumption,billion US$2005/yr,4194.633,5127.259,6059.884,7299.394,8538.904,10170.782,11802.660,13544.142,15285.624,17154.049,19022.475,20708.127,22393.780,23792.127,25190.474,26265.771,27341.068,27998.584,28656.100
IMAGE,SSP1-26,R5.2LAM,Consumption,billion US$2005/yr,4194.633,5127.259,6059.884,7299.394,8538.904,10170.782,11802.660,13544.142,15285.624,17154.049,19022.475,20708.127,22393.780,23792.127,25190.474,26265.771,27341.068,27998.584,28656.100
IMAGE,SSP1-34,R5.2LAM,Consumption,billion US$2005/yr,4194.633,5127.259,6059.884,7299.394,8538.904,10170.782,11802.660,13544.142,15285.624,17154.049,19022.475,20708.127,22393.780,23792.127,25190.474,26265.771,27341.068,27998.584,28656.100
IMAGE,SSP1-45,R5.2LAM,Consumption,billion US$2005/yr,4194.633,5127.259,6059.884,7299.394,8538.904,10170.782,11802.660,13544.142,15285.624,17154.049,19022.475,20708.127,22393.780,23792.127,25190.474,26265.771,27341.068,27998.584,28656.100
IMAGE,SSP1-Baseline,R5.2LAM,Consumption,billion US$2005/yr,4194.633,5127.259,6059.884,7299.394,8538.904,10170.782,11802.660,13544.142,15285.624,17154.049,19022.475,20708.127,22393.780,23792.127,25190.474,26265.771,27341.068,27998.584,28656.100
IMAGE,SSP2-26,R5.2LAM,Consumption,billion US$2005/yr,4194.633,5155.460,6116.287,7159.607,8202.927,9308.661,10414.396,11637.168,12859.941,14379.013,15898.085,17561.162,19224.238,21016.587,22808.937,24701.039,26593.142,28574.572,30556.002
IMAGE,SSP2-34,R5.2LAM,Consumption,billion US$2005/yr,4194.633,5155.460,6116.287,7159.607,8202.927,9308.661,10414.396,11637.168,12859.941,14379.013,15898.085,17561.162,19224.238,21016.587,22808.937,24701.039,26593.142,28574.572,30556.002
IMAGE,SSP2-45,R5.2LAM,Consumption,billion US$2005/yr,4194.633,5155.460,6116.287,7159.607,8202.927,9308.661,10414.396,11637.168,12859.941,14379.013,15898.085,17561.162,19224.238,21016.587,22808.937,24701.039,26593.142,28574.572,30556.002
IMAGE,SSP2-60,R5.2LAM,Consumption,billion US$2005/yr,4194.633,5155.460,6116.287,7159.607,8202.927,9308.661,10414.396,11637.168,12859.941,14379.013,15898.085,17561.162,19224.238,21016.587,22808.937,24701.039,26593.142,28574.572,30556.002
IMAGE,SSP2-Baseline,R5.2LAM,Consumption,billion US$2005/yr,4194.633,5155.460,6116.287,7159.607,8202.927,9308.661,10414.396,11637.168,12859.941,14379.013,15898.085,17561.162,19224.238,21016.587,22808.937,24701.039,26593.142,28574.572,30556.002
IMAGE,SSP3-34,R5.2LAM,Consumption,billion US$2005/yr,4194.633,5193.869,6193.104,7092.416,7991.728,8694.108,9396.488,10043.805,10691.122,11471.653,12252.184,13081.074,13909.965,14801.176,15692.387,16609.069,17525.750,18504.642,19483.535
IMAGE,SSP3-45,R5.2LAM,Consumption,billion US$2005/yr,4194.633,5193.869,6193.104,7092.416,7991.728,8694.108,9396.488,10043.805,10691.122,11471.653,12252.184,13081.074,13909.965,14801.176,15692.387,16609.069,17525.750,18504.642,19483.535
IMAGE,SSP3-60,R5.2LAM,Consumption,billion US$2005/yr,4194.633,5193.869,6193.104,7092.416,7991.728,8694.108,9396.488,10043.805,10691.122,11471.653,12252.184,13081.074,13909.965,14801.176,15692.387,16609.069,17525.750,18504.642,19483.535
IMAGE,SSP3-Baseline,R5.2LAM,Consumption,billion US$2005/yr,4194.633,5193.869,6193.104,7092.416,7991.728,8694.108,9396.488,10043.805,10691.122,11471.653,12252.184,13081.074,13909.965,14801.176,15692.387,16609.069,17525.750,18504.642,19483.535
IMAGE,SSP4-26,R5.2LAM,Consumption,billion US$2005/yr,4194.633,5221.703,6248.773,7228.811,8208.849,9184.105,10159.361,11089.025,12018.689,13092.460,14166.231,15197.128,16228.026,17185.941,18143.856,19033.710,19923.564,20772.631,21621.698
IMAGE,SSP4-34,R5.2LAM,Consumption,billion US$2005/yr,4194.633,5221.703,6248.773,7228.811,8208.849,9184.105,10159.361,11089.025,12018.689,13092.460,14166.231,15197.128,16228.026,17185.941,18143.856,19033.710,19923.564,20772.631,21621.698
IMAGE,SSP4-45,R5.2LAM,Consumption,billion US$2005/yr,4194.633,5221.703,6248.773,7228.811,8208.849,9184.105,10159.361,11089.025,12018.689,13092.460,14166.231,15197.128,16228.026,17185.941,18143.856,19033.710,19923.564,20772.631,21621.698
IMAGE,SSP4-60,R5.2LAM,Consumption,billion US$2005/yr,4194.633,5221.703,6248.773,7228.811,8208.849,9184.105,10159.361,11089.025,12018.689,13092.460,14166.231,15197.128,16228.026,17185.941,18143.856,19033.710,19923.564,20772.631,21621.698
IMAGE,SSP4-Baseline,R5.2LAM,Consumption,billion US$2005/yr,4194.633,5221.703,6248.773,7228.811,8208.849,9184.105,10159.361,11089.025,12018.689,13092.460,14166.231,15197.128,16228.026,17185.941,18143.856,19033.710,19923.564,20772.631,21621.698
IMAGE,SSP5-34,R5.2LAM,Consumption,billion US$2005/yr,4194.633,5214.194,6233.754,7741.493,9249.231,11528.493,13807.755,16371.226,18934.696,21833.948,24733.201,27613.224,30493.246,33232.759,35972.273,38547.942,41123.612,43377.270,45630.928
IMAGE,SSP5-45,R5.2LAM,Consumption,billion US$2005/yr,4194.633,5214.194,6233.754,7741.493,9249.231,11528.493,13807.755,16371.226,18934.696,21833.948,24733.201,27613.224,30493.246,33232.759,35972.273,38547.942,41123.612,43377.270,45630.928
IMAGE,SSP5-60,R5.2LAM,Consumption,billion US$2005/yr,4194.633,5214.194,6233.754,7741.493,9249.231,11528.493,13807.755,16371.226,18934.696,21833.948,24733.201,27613.224,30493.246,33232.759,35972.273,38547.942,41123.612,43377.270,45630.928
IMAGE,SSP5-Baseline,R5.2LAM,Consumption,billion US$2005/yr,4194.633,5214.194,6233.754,7741.493,9249.231,11528.493,13807.755,16371.226,18934.696,21833.948,24733.201,27613.224,30493.246,33232.759,35972.273,38547.942,41123.612,43377.270,45630.928
MESSAGE-GLOBIOM,SSP1-19,R5.2LAM,Consumption,billion US$2005/yr,2006.600,2722.350,3438.100,4682.450,5926.800,7859.250,9791.700,12206.350,14621.000,17251.500,19882.000,22778.500,25675.000,28687.500,31700.000,34560.000,37420.000,38912.000,40404.000
MESSAGE-GLOBIOM,SSP1-26,R5.2LAM,Consumption,billion US$2005/yr,2004.900,2710.950,3417.000,4674.450,5931.900,7886.150,9840.400,12286.200,14732.000,17399.500,20067.000,22948.000,25829.000,28752.500,31676.000,34474.500,37273.000,38861.500,40450.000
MESSAGE-GLOBIOM,SSP1-34,R5.2LAM,Consumption,billion US$2005/yr,2005.300,2717.750,3430.200,4691.550,5952.900,7910.000,9867.100,12328.550,14790.000,17488.500,20187.000,23077.500,25968.000,28920.500,31873.000,34699.500,37526.000,39044.500,40563.000
MESSAGE-GLOBIOM,SSP1-45,R5.2LAM,Consumption,billion US$2005/yr,2005.500,2719.950,3434.400,4700.900,5967.400,7925.850,9884.300,12351.150,14818.000,17527.500,20237.000,23140.500,26044.000,29012.500,31981.000,34806.500,37632.000,39170.000,40708.000
MESSAGE-GLOBIOM,SSP1-Baseline,R5.2LAM,Consumption,billion US$2005/yr,2005.800,2719.950,3434.100,4701.500,5968.900,7929.750,9890.600,12358.300,14826.000,17539.000,20252.000,23157.000,26062.000,29037.000,32012.000,34852.500,37693.000,39258.500,40824.000
MESSAGE-GLOBIOM,SSP2-19,R5.2LAM,Consumption,billion US$2005/yr,2004.200,2752.850,3501.500,4626.800,5752.100,7008.600,8265.100,9713.050,11161.000,13030.500,14900.000,17141.500,19383.000,21964.000,24545.000,28055.000,31565.000,35310.500,39056.000
MESSAGE-GLOBIOM,SSP2-26,R5.2LAM,Consumption,billion US$2005/yr,2003.700,2739.550,3475.400,4594.750,5714.100,7032.900,8351.700,9897.850,11444.000,13326.000,15208.000,17378.000,19548.000,22022.500,24497.000,27774.500,31052.000,34409.000,37766.000
MESSAGE-GLOBIOM,SSP2-34,R5.2LAM,Consumption,billion US$2005/yr,2003.900,2743.700,3483.500,4607.650,5731.800,7065.100,8398.400,9967.200,11536.000,13404.500,15273.000,17508.000,19743.000,22269.500,24796.000,27998.000,31200.000,34452.500,37705.000
MESSAGE-GLOBIOM,SSP2-45,R5.2LAM,Consumption,billion US$2005/yr,2004.200,2747.950,3491.700,4621.000,5750.300,7084.850,8419.400,9992.700,11566.000,13452.000,15338.000,17575.500,19813.000,22395.500,24978.000,28262.000,31546.000,34865.500,38185.000
MESSAGE-GLOBIOM,SSP2-60,R5.2LAM,Consumption,billion US$2005/yr,2004.500,2748.600,3492.700,4620.350,5748.000,7087.250,8426.500,10007.250,11588.000,13475.500,15363.000,17616.000,19869.000,22492.500,25116.000,28458.500,31801.000,35189.500,38578.000
MESSAGE-GLOBIOM,SSP2-Baseline,R5.2LAM,Consumption,billion US$2005/yr,2004.600,2748.350,3492.100,4618.500,5744.900,7083.550,8422.200,10004.100,11586.000,13478.500,15371.000,17619.000,19867.000,22490.500,25114.000,28441.000,31768.000,35170.500,38573.000
MESSAGE-GLOBIOM,SSP3-34,R5.2LAM,Consumption,billion US$2005/yr,2006.500,2805.350,3604.200,4610.050,5615.900,6465.750,7315.600,8033.500,8751.400,9385.700,10020.000,10771.500,11523.000,12289.000,13055.000,13978.000,14901.000,15879.000,16857.000
MESSAGE-GLOBIOM,SSP3-45,R5.2LAM,Consumption,billion US$2005/yr,2006.700,2798.400,3590.100,4623.550,5657.000,6524.600,7392.200,8151.550,8910.900,9653.950,10397.000,11192.500,11988.000,12900.500,13813.000,14889.500,15966.000,16918.500,17871.000
MESSAGE-GLOBIOM,SSP3-60,R5.2LAM,Consumption,billion US$2005/yr,2007.100,2784.600,3562.100,4586.550,5611.000,6485.850,7360.700,8143.300,8925.900,9716.450,10507.000,11390.500,12274.000,13243.000,14212.000,15319.000,16426.000,17412.500,18399.000
MESSAGE-GLOBIOM,SSP3-Baseline,R5.2LAM,Consumption,billion US$2005/yr,2006.800,2779.050,3551.300,4571.000,5590.700,6456.950,7323.200,8102.150,8881.100,9677.050,10473.000,11339.500,12206.000,13178.500,14151.000,15231.000,16311.000,17338.500,18366.000
REMIND-MAGPIE,SSP1-Baseline,R5.2LAM,Consumption,billion US$2005/yr,2313.000,2839.500,3366.000,4087.500,4809.000,5761.000,6713.000,7709.500,8706.000,9573.000,10440.000,10970.000,11500.000,12240.000,12980.000,13375.000,13770.000,13950.000,14130.000
REMIND-MAGPIE,SSP2-Baseline,R5.2LAM,Consumption,billion US$2005/yr,2292.000,2833.000,3374.000,4035.500,4697.000,5439.500,6182.000,6954.500,7727.000,8501.000,9275.000,9902.500,10530.000,11500.000,12470.000,13320.000,14170.000,15010.000,15850.000
REMIND-MAGPIE,SSP5-Baseline,R5.2LAM,Consumption,billion US$2005/yr,2386.000,2911.500,3437.000,4236.500,5036.000,6213.500,7391.000,8676.500,9962.000,11191.000,12420.000,13180.000,13940.000,15140.000,16340.000,17110.000,17880.000,18365.000,18850.000
WITCH-GLOBIOM,SSP1-19,R5.2LAM,Consumption,billion US$2005/yr,2276.667,2793.789,3310.912,3847.316,4383.720,5161.084,5938.447,6775.170,7611.893,8434.218,9256.543,9908.419,10560.295,10823.807,11087.318,11000.357,10913.397,10881.673,10849.949
WITCH-GLOBIOM,SSP1-26,R5.2LAM,Consumption,billion US$2005/yr,2276.667,2798.663,3320.659,4011.470,4702.281,5670.901,6639.520,7723.721,8807.923,9848.755,10889.586,11772.840,12656.094,13304.940,13953.785,14317.978,14682.170,14845.983,15009.795
WITCH-GLOBIOM,SSP1-34,R5.2LAM,Consumption,billion US$2005/yr,2276.667,2794.641,3312.616,4056.648,4800.680,5815.274,6829.867,7954.577,9079.288,10173.619,11267.950,12261.267,13254.584,14083.735,14912.886,15448.824,15984.763,16103.474,16222.184
WITCH-GLOBIOM,SSP1-45,R5.2LAM,Consumption,billion US$2005/yr,2276.667,2793.555,3310.443,4065.928,4821.412,5852.885,6884.357,8026.767,9169.177,10291.857,11414.538,12450.126,13485.714,14331.261,15176.809,15779.862,16382.915,16622.951,16862.986
WITCH-GLOBIOM,SSP1-Baseline,R5.2LAM,Consumption,billion US$2005/yr,2276.667,2797.368,3318.069,4075.495,4832.921,5864.240,6895.559,8049.012,9202.464,10341.030,11479.596,12513.279,13546.963,14424.755,15302.547,15991.047,16679.546,17033.219,17386.892
WITCH-GLOBIOM,SSP2-26,R5.2LAM,Consumption,billion US$2005/yr,2218.833,2723.118,3227.403,3753.677,4279.951,4888.681,5497.411,6175.033,6852.655,7549.985,8247.315,8885.948,9524.580,10124.757,10724.934,11351.727,11978.521,12782.299,13586.078
WITCH-GLOBIOM,SSP2-34,R5.2LAM,Consumption,billion US$2005/yr,2218.833,2722.096,3225.360,3819.031,4412.702,5083.635,5754.568,6501.572,7248.576,8038.335,8828.095,9637.434,10446.774,11256.136,12065.498,12883.579,13701.661,14493.828,15285.995
WITCH-GLOBIOM,SSP2-45,R5.2LAM,Consumption,billion US$2005/yr,2218.833,2719.452,3220.071,3828.830,4437.590,5130.539,5823.489,6596.279,7369.069,8203.213,9037.357,9922.675,10807.993,11743.783,12679.574,13645.137,14610.700,15523.648,16436.595
WITCH-GLOBIOM,SSP2-60,R5.2LAM,Consumption,billion US$2005/yr,2218.833,2716.130,3213.428,3829.068,4444.708,5153.424,5862.140,6654.486,7446.832,8309.951,9173.070,10095.147,11017.225,12012.991,13008.758,14064.594,15120.430,16196.778,17273.125
WITCH-GLOBIOM,SSP2-Baseline,R5.2LAM,Consumption,billion US$2005/yr,2218.833,2716.327,3213.822,3833.921,4454.019,5164.840,5875.661,6669.682,7463.704,8334.118,9204.532,10165.156,11125.779,12179.428,13233.076,14328.457,15423.838,16549.657,17675.476
WITCH-GLOBIOM,SSP3-34,R5.2LAM,Consumption,billion US$2005/yr,2142.544,2623.793,3105.043,3599.072,4093.100,4524.602,4956.104,5380.933,5805.763,6135.454,6465.145,6700.485,6935.825,7101.811,7267.798,7405.942,7544.085,7821.197,8098.309
WITCH-GLOBIOM,SSP3-45,R5.2LAM,Consumption,billion US$2005/yr,2142.544,2621.634,3100.725,3612.777,4124.829,4573.226,5021.624,5459.451,5897.278,6290.977,6684.676,7056.850,7429.025,7799.200,8169.376,8543.302,8917.228,9297.850,9678.473
WITCH-GLOBIOM,SSP3-60,R5.2LAM,Consumption,billion US$2005/yr,2142.544,2621.641,3100.738,3615.371,4130.004,4579.611,5029.218,5459.596,5889.973,6296.931,6703.889,7111.940,7519.991,7961.578,8403.165,8866.822,9330.479,9821.955,10313.431
WITCH-GLOBIOM,SSP3-Baseline,R5.2LAM,Consumption,billion US$2005/yr,2142.544,2620.288,3098.032,3614.606,4131.181,4585.740,5040.299,5470.492,5900.685,6314.154,6727.623,7149.826,7572.030,8025.113,8478.196,8957.236,9436.277,9955.069,10473.860
WITCH-GLOBIOM,SSP4-19,R5.2LAM,Consumption,billion US$2005/yr,2200.187,2674.842,3149.497,3558.114,3966.731,4394.986,4823.240,5216.428,5609.617,6033.303,6456.990,6852.498,7248.007,7549.573,7851.140,8149.532,8447.924,8703.663,8959.401
WITCH-GLOBIOM,SSP4-26,R5.2LAM,Consumption,billion US$2005/yr,2200.187,2673.145,3146.102,3676.312,4206.521,4749.292,5292.062,5813.228,6334.394,6811.780,7289.165,7777.359,8265.552,8705.305,9145.057,9497.350,9849.643,10095.180,10340.716
WITCH-GLOBIOM,SSP4-34,R5.2LAM,Consumption,billion US$2005/yr,2200.187,2676.486,3152.785,3723.316,4293.847,4895.565,5497.283,6097.626,6697.970,7283.082,7868.194,8420.854,8973.513,9440.566,9907.619,10249.903,10592.187,10819.570,11046.954
WITCH-GLOBIOM,SSP4-45,R5.2LAM,Consumption,billion US$2005/yr,2200.187,2675.796,3151.404,3731.610,4311.816,4932.754,5553.691,6184.148,6814.605,7452.694,8090.784,8690.838,9290.893,9819.493,10348.092,10818.668,11289.245,11642.090,11994.935
WITCH-GLOBIOM,SSP4-60,R5.2LAM,Consumption,billion US$2005/yr,2200.187,2678.348,3156.509,3740.464,4324.420,4952.859,5581.299,6225.489,6869.679,7515.842,8162.006,8775.856,9389.707,9952.395,10515.083,11040.186,11565.288,12003.983,12442.677
WITCH-GLOBIOM,SSP4-Baseline,R5.2LAM,Consumption,billion US$2005/yr,2200.187,2682.369,3164.551,3745.140,4325.730,4951.199,5576.669,6218.840,6861.012,7503.475,8145.938,8758.875,9371.812,9936.116,10500.420,11038.037,11575.655,12023.197,12470.738
WITCH-GLOBIOM,SSP5-34,R5.2LAM,Consumption,billion US$2005/yr,2251.579,2763.812,3276.045,4054.115,4832.185,6042.007,7251.829,8661.972,10072.115,11615.756,13159.397,14767.201,16375.004,18042.883,19710.761,20953.873,22196.985,22506.663,22816.342
WITCH-GLOBIOM,SSP5-45,R5.2LAM,Consumption,billion US$2005/yr,2251.579,2774.678,3297.777,4137.208,4976.639,6278.903,7581.167,9121.438,10661.710,12258.902,13856.094,15359.985,16863.876,18257.599,19651.323,20811.982,21972.641,22642.340,23312.039
WITCH-GLOBIOM,SSP5-60,R5.2LAM,Consumption,billion US$2005/yr,2251.579,2771.700,3291.822,4143.952,4996.082,6322.127,7648.172,9228.104,10808.036,12477.164,14146.291,15823.571,17500.852,19127.096,20753.341,22143.312,23533.284,24499.329,25465.374
WITCH-GLOBIOM,SSP5-Baseline,R5.2LAM,Consumption,billion US$2005/yr,2251.579,2768.989,3286.399,4147.816,5009.232,6351.242,7693.252,9296.916,10900.580,12608.576,14316.571,16040.805,17765.039,19416.421,21067.803,22562.929,24058.056,25151.427,26244.797
AIM/CGE,SSP1-19,R5.2MAF,Consumption,billion US$2005/yr,1831.076,2446.515,3061.954,3982.332,4902.711,6488.316,8073.920,10314.198,12554.476,15578.352,18602.228,22417.443,26232.657,30485.445,34738.234,39256.843,43775.452,48194.047,52612.641
AIM/CGE,SSP1-26,R5.2MAF,Consumption,billion US$2005/yr,1831.100,2446.532,3061.963,4064.372,5066.781,6651.502,8236.223,10506.823,12777.423,15817.778,18858.132,22641.372,26424.612,30705.310,34986.007,39501.478,44016.949,48425.014,52833.079
AIM/CGE,SSP1-34,R5.2MAF,Consumption,billion US$2005/yr,1831.100,2446.532,3061.963,4081.636,5101.310,6724.542,8347.774,10632.109,12916.444,15983.192,19049.940,22862.725,26675.511,30960.718,35245.926,39770.968,44296.011,48703.927,53111.843
AIM/CGE,SSP1-45,R5.2MAF,Consumption,billion US$2005/yr,1831.100,2444.865,3058.630,4084.260,5109.890,6742.474,8375.058,10672.126,12969.193,16063.025,19156.857,23005.846,26854.834,31152.408,35449.982,39973.566,44497.151,48890.442,53283.734
AIM/CGE,SSP1-Baseline,R5.2MAF,Consumption,billion US$2005/yr,1831.213,2447.636,3064.059,4091.351,5118.643,6753.472,8388.301,10685.520,12982.739,16080.799,19178.860,23050.222,26921.584,31246.946,35572.308,40124.258,44676.208,49090.072,53503.936
AIM/CGE,SSP2-19,R5.2MAF,Consumption,billion US$2005/yr,1834.868,2469.380,3103.891,3830.912,4557.934,5669.649,6781.365,8313.622,9845.880,11941.605,14037.331,16948.265,19859.199,23666.167,27473.136,32259.730,37046.325,42731.871,48417.418
AIM/CGE,SSP2-26,R5.2MAF,Consumption,billion US$2005/yr,1834.900,2469.338,3103.776,3937.179,4770.582,5878.531,6986.480,8541.761,10097.043,12237.987,14378.932,17300.097,20221.263,24072.835,27924.407,32700.748,37477.089,43137.922,48798.756
AIM/CGE,SSP2-34,R5.2MAF,Consumption,billion US$2005/yr,1834.900,2469.338,3103.776,3984.478,4865.180,6008.898,7152.616,8716.459,10280.302,12435.417,14590.533,17569.110,20547.688,24414.799,28281.911,33099.623,37917.335,43609.430,49301.526
AIM/CGE,SSP2-45,R5.2MAF,Consumption,billion US$2005/yr,1834.900,2469.338,3103.776,4004.804,4905.833,6083.796,7261.759,8846.581,10431.403,12601.600,14771.797,17756.134,20740.470,24614.662,28488.854,33311.645,38134.435,43836.063,49537.691
AIM/CGE,SSP2-60,R5.2MAF,Consumption,billion US$2005/yr,1834.900,2469.338,3103.776,4007.981,4912.186,6093.225,7274.264,8874.927,10475.590,12687.010,14898.430,17942.873,20987.317,24921.770,28856.223,33716.833,38577.443,44385.732,50194.021
AIM/CGE,SSP2-Baseline,R5.2MAF,Consumption,billion US$2005/yr,1835.063,2471.544,3108.026,4017.516,4927.006,6116.152,7305.299,8913.771,10522.243,12746.851,14971.460,18010.012,21048.564,24981.356,28914.149,33793.403,38672.657,44469.989,50267.321
AIM/CGE,SSP3-34,R5.2MAF,Consumption,billion US$2005/yr,1836.723,2462.178,3087.632,3864.174,4640.717,5370.878,6101.040,6887.616,7674.192,8565.396,9456.600,10565.993,11675.386,12982.207,14289.027,15681.493,17073.958,18659.432,20244.907
AIM/CGE,SSP3-45,R5.2MAF,Consumption,billion US$2005/yr,1836.723,2462.178,3087.632,3869.414,4651.196,5456.997,6262.799,7098.562,7934.325,8821.305,9708.286,10895.488,12082.689,13502.367,14922.045,16458.519,17994.993,19695.178,21395.362
AIM/CGE,SSP3-60,R5.2MAF,Consumption,billion US$2005/yr,1836.723,2462.178,3087.632,3869.687,4651.743,5480.342,6308.942,7182.968,8056.995,9050.399,10043.803,11271.064,12498.326,13968.005,15437.685,17141.649,18845.614,20853.572,22861.530
AIM/CGE,SSP3-Baseline,R5.2MAF,Consumption,billion US$2005/yr,1836.915,2463.611,3090.306,3876.764,4663.223,5521.151,6379.080,7288.033,8196.985,9211.365,10225.744,11488.352,12750.960,14307.449,15863.939,17728.091,19592.243,21781.822,23971.402
AIM/CGE,SSP4-26,R5.2MAF,Consumption,billion US$2005/yr,1830.489,2458.251,3086.012,3918.002,4749.991,5729.982,6709.974,7764.850,8819.727,9923.634,11027.541,12267.011,13506.481,14905.653,16304.826,17852.716,19400.605,21119.153,22837.701
AIM/CGE,SSP4-34,R5.2MAF,Consumption,billion US$2005/yr,1830.489,2458.251,3086.012,3939.683,4793.354,5800.117,6806.879,7859.402,8911.925,10021.342,11130.760,12382.465,13634.169,15048.754,16463.338,18051.726,19640.114,21424.661,23209.207
AIM/CGE,SSP4-45,R5.2MAF,Consumption,billion US$2005/yr,1830.489,2458.251,3086.012,3948.615,4811.218,5829.102,6846.985,7904.332,8961.680,10090.228,11218.777,12474.337,13729.898,15143.347,16556.797,18143.709,19730.621,21529.050,23327.480
AIM/CGE,SSP4-Baseline,R5.2MAF,Consumption,billion US$2005/yr,1830.547,2458.568,3086.588,3952.187,4817.786,5836.940,6856.094,7913.341,8970.588,10102.576,11234.565,12508.648,13782.731,15209.804,16636.876,18245.714,19854.551,21666.554,23478.557
AIM/CGE,SSP5-26,R5.2MAF,Consumption,billion US$2005/yr,1833.838,2482.666,3131.494,4267.065,5402.637,7543.353,9684.070,12973.171,16262.273,20772.672,25283.072,31296.132,37309.192,44562.734,51816.276,60240.293,68664.310,77706.925,86749.540
AIM/CGE,SSP5-34,R5.2MAF,Consumption,billion US$2005/yr,1833.838,2482.666,3131.494,4361.977,5592.460,7827.800,10063.139,13400.437,16737.735,21304.318,25870.902,31940.581,38010.260,45293.732,52577.203,60991.847,69406.491,78245.206,87083.922
AIM/CGE,SSP5-45,R5.2MAF,Consumption,billion US$2005/yr,1833.838,2482.666,3131.494,4391.608,5651.722,7937.689,10223.655,13559.597,16895.538,21507.852,26120.165,32260.278,38400.391,45767.327,53134.264,61539.178,69944.091,78808.076,87672.060
AIM/CGE,SSP5-60,R5.2MAF,Consumption,billion US$2005/yr,1833.838,2482.666,3131.494,4396.138,5660.783,7960.118,10259.454,13627.741,16996.029,21645.958,26295.886,32475.621,38655.357,46053.711,53452.065,61951.201,70450.338,79492.607,88534.877
AIM/CGE,SSP5-Baseline,R5.2MAF,Consumption,billion US$2005/yr,1834.010,2485.147,3136.284,4417.491,5698.699,8032.242,10365.784,13796.754,17227.725,21963.397,26699.069,32934.106,39169.143,46672.169,54175.196,62769.976,71364.757,80663.945,89963.133
