Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE,SSP5-Baseline,R5.2ASIA,Consumption,billion US$2005/yr,5177.225,7772.394,10367.564,15304.373,20241.182,26942.271,33643.361,40409.441,47175.521,53460.569,59745.617,65613.754,71481.890,76628.574,81775.257,86287.957,90800.657,94567.895,98335.133
IMAGE,SSP1-19,R5.2ASIA,Consumption,billion US$2005/yr,9340.511,14515.750,19690.988,29446.331,39201.674,51734.166,64266.657,76667.761,89068.865,97720.307,106371.750,113205.631,120039.512,124799.542,129559.571,132681.662,135803.753,137289.137,138774.520
IMAGE,SSP1-26,R5.2ASIA,Consumption,billion US$2005/yr,9340.511,14515.750,19690.988,29446.331,39201.674,51734.166,64266.657,76667.761,89068.865,97720.307,106371.750,113205.631,120039.512,124799.542,129559.571,132681.662,135803.753,137289.137,138774.520
IMAGE,SSP1-34,R5.2ASIA,Consumption,billion US$2005/yr,9340.511,14515.750,19690.988,29446.331,39201.674,51734.166,64266.657,76667.761,89068.865,97720.307,106371.750,113205.631,120039.512,124799.542,129559.571,132681.662,135803.753,137289.137,138774.520
IMAGE,SSP1-45,R5.2ASIA,Consumption,billion US$2005/yr,9340.511,14515.750,19690.988,29446.331,39201.674,51734.166,64266.657,76667.761,89068.865,97720.307,106371.750,113205.631,120039.512,124799.542,129559.571,132681.662,135803.753,137289.137,138774.520
IMAGE,SSP1-Baseline,R5.2ASIA,Consumption,billion US$2005/yr,9340.511,14515.750,19690.988,29446.331,39201.674,51734.166,64266.657,76667.761,89068.865,97720.307,106371.750,113205.631,120039.512,124799.542,129559.571,132681.662,135803.753,137289.137,138774.520
IMAGE,SSP2-26,R5.2ASIA,Consumption,billion US$2005/yr,9340.511,14492.180,19643.849,27389.956,35136.062,43047.531,50959.000,59048.807,67138.615,73625.825,80113.034,86738.232,93363.429,99981.503,106599.578,113227.613,119855.648,126642.636,133429.625
IMAGE,SSP2-34,R5.2ASIA,Consumption,billion US$2005/yr,9340.511,14492.180,19643.849,27389.956,35136.062,43047.531,50959.000,59048.807,67138.615,73625.825,80113.034,86738.232,93363.429,99981.503,106599.578,113227.613,119855.648,126642.636,133429.625
IMAGE,SSP2-45,R5.2ASIA,Consumption,billion US$2005/yr,9340.511,14492.180,19643.849,27389.956,35136.062,43047.531,50959.000,59048.807,67138.615,73625.825,80113.034,86738.232,93363.429,99981.503,106599.578,113227.613,119855.648,126642.636,133429.625
IMAGE,SSP2-60,R5.2ASIA,Consumption,billion US$2005/yr,9340.511,14492.180,19643.849,27389.956,35136.062,43047.531,50959.000,59048.807,67138.615,73625.825,80113.034,86738.232,93363.429,99981.503,106599.578,113227.613,119855.648,126642.636,133429.625
