Model,Scenario,Region,Variable,Unit,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE,SSP3-70,World,CMIP6 Emissions|CO2|International Shipping,Mt CO2/yr,1006.846,1123.167,1178.275,1233.383,1224.032,1214.681,1179.927,1145.174,1099.930,1054.687,1011.580,968.473,924.821,881.169,869.936,858.704,849.594,840.485
GCAM4,SSP4-34,World,CMIP6 Emissions|CO2|International Shipping,Mt CO2/yr,1006.846,1026.078,1038.578,1051.077,1056.771,1062.465,1046.623,1030.781,978.171,925.561,847.415,769.268,656.238,543.208,434.477,325.746,258.529,191.313
GCAM4,SSP4-60,World,CMIP6 Emissions|CO2|International Shipping,Mt CO2/yr,1006.846,1026.078,1083.445,1140.812,1175.521,1210.229,1232.017,1253.805,1261.193,1268.580,1274.487,1280.394,1274.012,1267.629,1258.203,1248.777,1222.720,1196.662
IMAGE,SSP1-19,World,CMIP6 Emissions|CO2|International Shipping,Mt CO2/yr,1006.846,974.907,692.264,409.622,389.140,368.658,358.072,347.486,334.529,321.572,310.521,299.469,282.029,264.589,254.464,244.340,233.756,223.171
IMAGE,SSP1-26,World,CMIP6 Emissions|CO2|International Shipping,Mt CO2/yr,1006.846,969.298,930.547,891.795,838.532,785.269,738.817,692.365,652.000,611.635,554.034,496.432,428.559,360.686,383.228,405.770,399.548,393.326
MESSAGE-GLOBIOM,SSP2-45,World,CMIP6 Emissions|CO2|International Shipping,Mt CO2/yr,1006.846,1104.246,1125.424,1146.602,1109.664,1072.726,1062.491,1052.256,1052.437,1052.619,1069.088,1085.557,1100.798,1116.039,1129.971,1143.902,1156.173,1168.444
REMIND-MAGPIE,SSP5-34,World,CMIP6 Emissions|CO2|International Shipping,Mt CO2/yr,1006.846,1123.616,1273.393,1423.170,1641.032,1858.894,1729.200,1599.505,1399.463,1199.420,915.570,631.719,411.224,190.728,101.796,12.864,11.249,9.635
REMIND-MAGPIE,SSP5-85,World,CMIP6 Emissions|CO2|International Shipping,Mt CO2/yr,1006.846,1123.616,1273.393,1423.170,1641.032,1858.894,1990.989,2123.084,2318.793,2514.502,2631.549,2748.596,2933.863,3119.130,3294.326,3469.522,3581.955,3694.388
