Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MESSAGE-GLOBIOM,SSP1-19,R5.2ASIA,Primary Energy|Coal,EJ/yr,85.032,87.083,89.135,60.815,32.496,24.423,16.35,18.182,20.015,27.629,35.244,36.506,37.767,33.414,29.061,20.928,12.794,8.229,3.665
MESSAGE-GLOBIOM,SSP1-26,R5.2ASIA,Primary Energy|Coal,EJ/yr,85.114,87.262,89.41,82.027,74.644,59.785,44.925,33.548,22.171,23.408,24.645,28.94,33.235,38.797,44.359,41.372,38.385,33.659,28.933
MESSAGE-GLOBIOM,SSP2-45,R5.2ASIA,Primary Energy|Coal,EJ/yr,84.432,89.311,94.19,99.163,104.136,96.322,88.509,83.345,78.182,77.937,77.692,78.728,79.763,81.977,84.192,91.192,98.193,110.476,122.759
MESSAGE-GLOBIOM,SSP3-Baseline,R5.2ASIA,Primary Energy|Coal,EJ/yr,86,116.867,147.734,171.128,194.522,213.311,232.1,248.224,264.347,288.226,312.105,341.543,370.98,430.856,490.732,555.575,620.417,673.785,727.153
REMIND-MAGPIE,SSP1-19,R5.2ASIA,Primary Energy|Coal,EJ/yr,83.54,87.275,91.01,68.438,45.866,28.187,10.507,6.322,2.137,1.249,0.361,0.229,0.097,0.095,0.093,0.083,0.073,0.048,0.022
REMIND-MAGPIE,SSP1-26,R5.2ASIA,Primary Energy|Coal,EJ/yr,83.54,87.275,91.01,74.03,57.05,42.435,27.819,20.379,12.938,9.439,5.94,4.088,2.237,1.651,1.064,0.827,0.589,0.403,0.217
REMIND-MAGPIE,SSP2-45,R5.2ASIA,Primary Energy|Coal,EJ/yr,83.92,99.9,115.88,116.025,116.17,102.13,88.09,76.86,65.63,62.33,59.03,56.54,54.05,50.561,47.071,43.028,38.985,36.909,34.833
REMIND-MAGPIE,SSP5-34,R5.2ASIA,Primary Energy|Coal,EJ/yr,83.52,85.035,86.55,71.659,56.767,41.12,25.472,18.459,11.446,8.703,5.959,4.798,3.636,2.785,1.933,1.478,1.023,0.893,0.763
REMIND-MAGPIE,SSP5-Baseline,R5.2ASIA,Primary Energy|Coal,EJ/yr,83.52,88.985,94.45,104.505,114.56,134.225,153.89,179.905,205.92,242.305,278.69,315.34,351.99,376.445,400.9,403.25,405.6,393.35,381.1
WITCH-GLOBIOM,SSP1-19,R5.2ASIA,Primary Energy|Coal,EJ/yr,70.703,83.29,95.877,60.324,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.77
WITCH-GLOBIOM,SSP1-26,R5.2ASIA,Primary Energy|Coal,EJ/yr,70.703,92.918,115.133,69.994,24.856,24.813,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.77
WITCH-GLOBIOM,SSP2-45,R5.2ASIA,Primary Energy|Coal,EJ/yr,70.703,81.287,91.87,82.703,73.535,66.792,60.048,48.625,37.203,31.925,26.648,26.367,26.086,25.86,25.634,25.537,25.441,25.38,25.32
WITCH-GLOBIOM,SSP3-Baseline,R5.2ASIA,Primary Energy|Coal,EJ/yr,70.703,95.646,120.589,144.299,168.009,180.699,193.39,200.9,208.411,213.847,219.283,232.253,245.222,253.826,262.43,272.085,281.741,294.235,306.729
WITCH-GLOBIOM,SSP4-34,R5.2ASIA,Primary Energy|Coal,EJ/yr,70.703,90.129,109.555,90.639,71.724,56.587,41.45,33.373,25.296,25.169,25.041,24.93,24.819,24.794,24.77,24.77,24.77,24.77,24.77
WITCH-GLOBIOM,SSP4-60,R5.2ASIA,Primary Energy|Coal,EJ/yr,70.703,89.14,107.577,111.329,115.082,112.427,109.772,110.914,112.056,111.863,111.669,109.295,106.921,98.321,89.721,83.753,77.784,73.092,68.399
WITCH-GLOBIOM,SSP5-34,R5.2ASIA,Primary Energy|Coal,EJ/yr,70.703,77.162,83.622,56.923,30.224,31.805,33.386,35.133,36.879,38.808,40.738,42.869,45,47.354,49.708,52.308,54.908,57.792,60.676
WITCH-GLOBIOM,SSP5-Baseline,R5.2ASIA,Primary Energy|Coal,EJ/yr,70.703,87.736,104.768,130.918,157.068,190.52,223.973,256.401,288.829,310.79,332.751,343.984,355.217,362.174,369.132,370.976,372.819,365.268,357.716
AIM/CGE,SSP1-19,R5.2LAM,Primary Energy|Coal,EJ/yr,1.348,1.376,1.404,0.993,0.582,0.48,0.378,0.365,0.352,0.264,0.176,0.148,0.121,0.106,0.091,0.087,0.084,0.078,0.072
AIM/CGE,SSP1-26,R5.2LAM,Primary Energy|Coal,EJ/yr,1.348,1.376,1.404,1.212,1.019,0.833,0.646,0.623,0.6,0.569,0.538,0.479,0.419,0.39,0.362,0.326,0.291,0.272,0.252
AIM/CGE,SSP2-45,R5.2LAM,Primary Energy|Coal,EJ/yr,1.42,1.542,1.663,1.688,1.712,1.706,1.701,1.598,1.495,1.314,1.132,1.102,1.072,1.148,1.224,1.298,1.372,1.446,1.52
